Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2002,2002,NUMBER,GB_XPD_RSDV,0.34
2008,2008,NUMBER,GB_XPD_RSDV,0.43
2016,2016,NUMBER,GB_XPD_RSDV,0.33
