Year,SERIES,REF_AREA,SEX,AGE,location,disability,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2016,SP_DYN_MRBF15,UG,F,Y20T24,_T,_T,PT,0,2016,7.3
2016,SP_DYN_MRBF18,UG,F,Y20T24,_T,_T,PT,0,2016,34.0
