Year,TIME_DETAIL,SERIES,Value
2010,2010,SG_XPD_HLTH,42.8
2011,2011,SG_XPD_HLTH,40.3
2012,2012,SG_XPD_HLTH,44.6
2013,2013,SG_XPD_HLTH,49.1
2014,2014,SG_XPD_HLTH,51.2
2015,2015,SG_XPD_HLTH,48.6
2016,2016,SG_XPD_HLTH,47.4
2017,2017,SG_XPD_HLTH,50.0
2018,2018,SG_XPD_HLTH,56.3
2019,2019,SG_XPD_HLTH,57.9
