Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,N,2000,SH_DYN_NMRT,NUMBER,
2001,M,West Bank,N,2001,SH_DYN_NMRT,NUMBER,
2004,M,West Bank,N,2004,SH_DYN_NMRT,NUMBER,
2005,M,West Bank,N,2005,SH_DYN_NMRT,NUMBER,
2010,M,West Bank,N,2010,SH_DYN_NMRT,NUMBER,
2014,M,West Bank,N,2014,SH_DYN_NMRT,NUMBER,
2019,M,West Bank,N,2019,SH_DYN_NMRT,NUMBER,
2000,M,Gaza Strip,N,2000,SH_DYN_NMRT,NUMBER,
2001,M,Gaza Strip,N,2001,SH_DYN_NMRT,NUMBER,
2004,M,Gaza Strip,N,2004,SH_DYN_NMRT,NUMBER,
2005,M,Gaza Strip,N,2005,SH_DYN_NMRT,NUMBER,
2010,M,Gaza Strip,N,2010,SH_DYN_NMRT,NUMBER,
2014,M,Gaza Strip,N,2014,SH_DYN_NMRT,NUMBER,
2019,M,Gaza Strip,N,2019,SH_DYN_NMRT,NUMBER,
2000,M,PS,N,2000,SH_DYN_NMRT,NUMBER,16.0
2001,M,PS,N,2001,SH_DYN_NMRT,NUMBER,18.9
2004,M,PS,N,2004,SH_DYN_NMRT,NUMBER,18.9
2005,M,PS,N,2005,SH_DYN_NMRT,NUMBER,18.9
2010,M,PS,N,2010,SH_DYN_NMRT,NUMBER,13.0
2014,M,PS,N,2014,SH_DYN_NMRT,NUMBER,12.0
2019,M,PS,N,2019,SH_DYN_NMRT,NUMBER,11.5
2000,F,West Bank,N,2000,SH_DYN_NMRT,NUMBER,
2001,F,West Bank,N,2001,SH_DYN_NMRT,NUMBER,
2004,F,West Bank,N,2004,SH_DYN_NMRT,NUMBER,
2005,F,West Bank,N,2005,SH_DYN_NMRT,NUMBER,
2010,F,West Bank,N,2010,SH_DYN_NMRT,NUMBER,
2014,F,West Bank,N,2014,SH_DYN_NMRT,NUMBER,
2019,F,West Bank,N,2019,SH_DYN_NMRT,NUMBER,
2000,F,Gaza Strip,N,2000,SH_DYN_NMRT,NUMBER,
2001,F,Gaza Strip,N,2001,SH_DYN_NMRT,NUMBER,
2004,F,Gaza Strip,N,2004,SH_DYN_NMRT,NUMBER,
2005,F,Gaza Strip,N,2005,SH_DYN_NMRT,NUMBER,
2010,F,Gaza Strip,N,2010,SH_DYN_NMRT,NUMBER,
2014,F,Gaza Strip,N,2014,SH_DYN_NMRT,NUMBER,
2019,F,Gaza Strip,N,2019,SH_DYN_NMRT,NUMBER,
2000,F,PS,N,2000,SH_DYN_NMRT,NUMBER,14.0
2001,F,PS,N,2001,SH_DYN_NMRT,NUMBER,13.8
2004,F,PS,N,2004,SH_DYN_NMRT,NUMBER,13.8
2005,F,PS,N,2005,SH_DYN_NMRT,NUMBER,13.8
2010,F,PS,N,2010,SH_DYN_NMRT,NUMBER,10.0
2014,F,PS,N,2014,SH_DYN_NMRT,NUMBER,11.0
2019,F,PS,N,2019,SH_DYN_NMRT,NUMBER,7.1
2000,_T,West Bank,N,2000,SH_DYN_NMRT,NUMBER,15.0
2001,_T,West Bank,N,2001,SH_DYN_NMRT,NUMBER,13.5
2004,_T,West Bank,N,2004,SH_DYN_NMRT,NUMBER,13.5
2005,_T,West Bank,N,2005,SH_DYN_NMRT,NUMBER,13.5
2010,_T,West Bank,N,2010,SH_DYN_NMRT,NUMBER,12.0
2014,_T,West Bank,N,2014,SH_DYN_NMRT,NUMBER,11.0
2019,_T,West Bank,N,2019,SH_DYN_NMRT,NUMBER,9.8
2000,_T,Gaza Strip,N,2000,SH_DYN_NMRT,NUMBER,16.0
2001,_T,Gaza Strip,N,2001,SH_DYN_NMRT,NUMBER,20.6
2004,_T,Gaza Strip,N,2004,SH_DYN_NMRT,NUMBER,20.6
2005,_T,Gaza Strip,N,2005,SH_DYN_NMRT,NUMBER,20.6
2010,_T,Gaza Strip,N,2010,SH_DYN_NMRT,NUMBER,11.0
2014,_T,Gaza Strip,N,2014,SH_DYN_NMRT,NUMBER,12.0
2019,_T,Gaza Strip,N,2019,SH_DYN_NMRT,NUMBER,8.8
2000,_T,PS,N,2000,SH_DYN_NMRT,NUMBER,15.0
2001,_T,PS,N,2001,SH_DYN_NMRT,NUMBER,16.4
2004,_T,PS,N,2004,SH_DYN_NMRT,NUMBER,16.4
2005,_T,PS,N,2005,SH_DYN_NMRT,NUMBER,16.4
2010,_T,PS,N,2010,SH_DYN_NMRT,NUMBER,12.0
2014,_T,PS,N,2014,SH_DYN_NMRT,NUMBER,11.0
2019,_T,PS,N,2019,SH_DYN_NMRT,NUMBER,9.4
