Year,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,West Bank,2000,NV_IND_MANF,PT,330.4
2001,West Bank,2001,NV_IND_MANF,PT,330.2
2002,West Bank,2002,NV_IND_MANF,PT,246.9
2003,West Bank,2003,NV_IND_MANF,PT,303.6
2004,West Bank,2004,NV_IND_MANF,PT,277.0
2005,West Bank,2005,NV_IND_MANF,PT,330.4
2006,West Bank,2006,NV_IND_MANF,PT,248.4
2007,West Bank,2007,NV_IND_MANF,PT,313.0
2008,West Bank,2008,NV_IND_MANF,PT,441.5
2009,West Bank,2009,NV_IND_MANF,PT,462.7
2010,West Bank,2010,NV_IND_MANF,PT,446.8
2011,West Bank,2011,NV_IND_MANF,PT,418.2
2012,West Bank,2012,NV_IND_MANF,PT,505.3
2013,West Bank,2013,NV_IND_MANF,PT,521.2
2014,West Bank,2014,NV_IND_MANF,PT,479.2
2015,West Bank,2015,NV_IND_MANF,PT,410.2
2016,West Bank,2016,NV_IND_MANF,PT,483.7
2017,West Bank,2017,NV_IND_MANF,PT,575.5
2018,West Bank,2018,NV_IND_MANF,PT,599.5
2019,West Bank,2019,NV_IND_MANF,PT,596.0
2000,Gaza Strip,2000,NV_IND_MANF,PT,314.4
2001,Gaza Strip,2001,NV_IND_MANF,PT,207.6
2002,Gaza Strip,2002,NV_IND_MANF,PT,147.0
2003,Gaza Strip,2003,NV_IND_MANF,PT,258.9
2004,Gaza Strip,2004,NV_IND_MANF,PT,219.0
2005,Gaza Strip,2005,NV_IND_MANF,PT,314.4
2006,Gaza Strip,2006,NV_IND_MANF,PT,164.5
2007,Gaza Strip,2007,NV_IND_MANF,PT,32.9
2008,Gaza Strip,2008,NV_IND_MANF,PT,51.4
2009,Gaza Strip,2009,NV_IND_MANF,PT,64.6
2010,Gaza Strip,2010,NV_IND_MANF,PT,218.9
2011,Gaza Strip,2011,NV_IND_MANF,PT,233.8
2012,Gaza Strip,2012,NV_IND_MANF,PT,197.2
2013,Gaza Strip,2013,NV_IND_MANF,PT,200.8
2014,Gaza Strip,2014,NV_IND_MANF,PT,156.7
2015,Gaza Strip,2015,NV_IND_MANF,PT,159.6
2016,Gaza Strip,2016,NV_IND_MANF,PT,150.8
2017,Gaza Strip,2017,NV_IND_MANF,PT,145.6
2018,Gaza Strip,2018,NV_IND_MANF,PT,94.3
2019,Gaza Strip,2019,NV_IND_MANF,PT,73.0
2000,PS,2000,NV_IND_MANF,PT,325.9
2001,PS,2001,NV_IND_MANF,PT,265.9
2002,PS,2002,NV_IND_MANF,PT,196.9
2003,PS,2003,NV_IND_MANF,PT,258.3
2004,PS,2004,NV_IND_MANF,PT,265.2
2005,PS,2005,NV_IND_MANF,PT,325.9
2006,PS,2006,NV_IND_MANF,PT,215.0
2007,PS,2007,NV_IND_MANF,PT,201.1
2008,PS,2008,NV_IND_MANF,PT,284.6
2009,PS,2009,NV_IND_MANF,PT,301.6
2010,PS,2010,NV_IND_MANF,PT,354.0
2011,PS,2011,NV_IND_MANF,PT,342.7
2012,PS,2012,NV_IND_MANF,PT,378.5
2013,PS,2013,NV_IND_MANF,PT,388.7
2014,PS,2014,NV_IND_MANF,PT,345.1
2015,PS,2015,NV_IND_MANF,PT,305.5
2016,PS,2016,NV_IND_MANF,PT,344.0
2017,PS,2017,NV_IND_MANF,PT,394.4
2018,PS,2018,NV_IND_MANF,PT,385.8
2019,PS,2019,NV_IND_MANF,PT,374.0
