Year,URBANISATION,REF_AREA,TIME_DETAIL,SERIES,Value
2001,_T,West Bank,2001,EG_ACS_ELEC,99.7
2003,_T,West Bank,2003,EG_ACS_ELEC,99.6
2004,_T,West Bank,2004,EG_ACS_ELEC,99.4
2005,_T,West Bank,2005,EG_ACS_ELEC,99.5
2006,_T,West Bank,2006,EG_ACS_ELEC,99.3
2007,_T,West Bank,2007,EG_ACS_ELEC,98.4
2008,_T,West Bank,2008,EG_ACS_ELEC,99.7
2009,_T,West Bank,2009,EG_ACS_ELEC,99.9
2010,_T,West Bank,2010,EG_ACS_ELEC,99.7
2011,_T,West Bank,2011,EG_ACS_ELEC,99.8
2012,_T,West Bank,2012,EG_ACS_ELEC,99.8
2013,_T,West Bank,2013,EG_ACS_ELEC,99.9
2015,_T,West Bank,2015,EG_ACS_ELEC,99.9
2017,_T,West Bank,2017,EG_ACS_ELEC,99.6
2001,_T,Gaza Strip,2001,EG_ACS_ELEC,97.8
2003,_T,Gaza Strip,2003,EG_ACS_ELEC,98.9
2004,_T,Gaza Strip,2004,EG_ACS_ELEC,99.5
2005,_T,Gaza Strip,2005,EG_ACS_ELEC,99.6
2006,_T,Gaza Strip,2006,EG_ACS_ELEC,99.8
2007,_T,Gaza Strip,2007,EG_ACS_ELEC,99.4
2008,_T,Gaza Strip,2008,EG_ACS_ELEC,99.9
2009,_T,Gaza Strip,2009,EG_ACS_ELEC,99.9
2010,_T,Gaza Strip,2010,EG_ACS_ELEC,100.0
2011,_T,Gaza Strip,2011,EG_ACS_ELEC,100.0
2012,_T,Gaza Strip,2012,EG_ACS_ELEC,99.8
2013,_T,Gaza Strip,2013,EG_ACS_ELEC,99.8
2015,_T,Gaza Strip,2015,EG_ACS_ELEC,99.8
2017,_T,Gaza Strip,2017,EG_ACS_ELEC,99.9
2001,_T,PS,2001,EG_ACS_ELEC,99.1
2003,_T,PS,2003,EG_ACS_ELEC,99.4
2004,_T,PS,2004,EG_ACS_ELEC,99.5
2005,_T,PS,2005,EG_ACS_ELEC,99.6
2006,_T,PS,2006,EG_ACS_ELEC,99.5
2007,_T,PS,2007,EG_ACS_ELEC,98.8
2008,_T,PS,2008,EG_ACS_ELEC,99.8
2009,_T,PS,2009,EG_ACS_ELEC,99.9
2010,_T,PS,2010,EG_ACS_ELEC,99.8
2011,_T,PS,2011,EG_ACS_ELEC,99.9
2012,_T,PS,2012,EG_ACS_ELEC,99.8
2013,_T,PS,2013,EG_ACS_ELEC,99.9
2015,_T,PS,2015,EG_ACS_ELEC,99.9
2017,_T,PS,2017,EG_ACS_ELEC,99.7
2001,U,West Bank,2001,EG_ACS_ELEC,
2003,U,West Bank,2003,EG_ACS_ELEC,
2004,U,West Bank,2004,EG_ACS_ELEC,
2005,U,West Bank,2005,EG_ACS_ELEC,
2006,U,West Bank,2006,EG_ACS_ELEC,
2007,U,West Bank,2007,EG_ACS_ELEC,
2008,U,West Bank,2008,EG_ACS_ELEC,
2009,U,West Bank,2009,EG_ACS_ELEC,
2010,U,West Bank,2010,EG_ACS_ELEC,
2011,U,West Bank,2011,EG_ACS_ELEC,
2012,U,West Bank,2012,EG_ACS_ELEC,
2013,U,West Bank,2013,EG_ACS_ELEC,
2015,U,West Bank,2015,EG_ACS_ELEC,
2017,U,West Bank,2017,EG_ACS_ELEC,
2001,U,Gaza Strip,2001,EG_ACS_ELEC,
2003,U,Gaza Strip,2003,EG_ACS_ELEC,
2004,U,Gaza Strip,2004,EG_ACS_ELEC,
2005,U,Gaza Strip,2005,EG_ACS_ELEC,
2006,U,Gaza Strip,2006,EG_ACS_ELEC,
2007,U,Gaza Strip,2007,EG_ACS_ELEC,
2008,U,Gaza Strip,2008,EG_ACS_ELEC,
2009,U,Gaza Strip,2009,EG_ACS_ELEC,
2010,U,Gaza Strip,2010,EG_ACS_ELEC,
2011,U,Gaza Strip,2011,EG_ACS_ELEC,
2012,U,Gaza Strip,2012,EG_ACS_ELEC,
2013,U,Gaza Strip,2013,EG_ACS_ELEC,
2015,U,Gaza Strip,2015,EG_ACS_ELEC,
2017,U,Gaza Strip,2017,EG_ACS_ELEC,
2001,U,PS,2001,EG_ACS_ELEC,88.1
2003,U,PS,2003,EG_ACS_ELEC,99.3
2004,U,PS,2004,EG_ACS_ELEC,99.7
2005,U,PS,2005,EG_ACS_ELEC,99.8
2006,U,PS,2006,EG_ACS_ELEC,99.7
2007,U,PS,2007,EG_ACS_ELEC,
2008,U,PS,2008,EG_ACS_ELEC,99.9
2009,U,PS,2009,EG_ACS_ELEC,99.9
2010,U,PS,2010,EG_ACS_ELEC,
2011,U,PS,2011,EG_ACS_ELEC,
2012,U,PS,2012,EG_ACS_ELEC,
2013,U,PS,2013,EG_ACS_ELEC,
2015,U,PS,2015,EG_ACS_ELEC,
2017,U,PS,2017,EG_ACS_ELEC,99.9
2001,R,West Bank,2001,EG_ACS_ELEC,
2003,R,West Bank,2003,EG_ACS_ELEC,
2004,R,West Bank,2004,EG_ACS_ELEC,
2005,R,West Bank,2005,EG_ACS_ELEC,
2006,R,West Bank,2006,EG_ACS_ELEC,
2007,R,West Bank,2007,EG_ACS_ELEC,
2008,R,West Bank,2008,EG_ACS_ELEC,
2009,R,West Bank,2009,EG_ACS_ELEC,
2010,R,West Bank,2010,EG_ACS_ELEC,
2011,R,West Bank,2011,EG_ACS_ELEC,
2012,R,West Bank,2012,EG_ACS_ELEC,
2013,R,West Bank,2013,EG_ACS_ELEC,
2015,R,West Bank,2015,EG_ACS_ELEC,
2017,R,West Bank,2017,EG_ACS_ELEC,
2001,R,Gaza Strip,2001,EG_ACS_ELEC,
2003,R,Gaza Strip,2003,EG_ACS_ELEC,
2004,R,Gaza Strip,2004,EG_ACS_ELEC,
2005,R,Gaza Strip,2005,EG_ACS_ELEC,
2006,R,Gaza Strip,2006,EG_ACS_ELEC,
2007,R,Gaza Strip,2007,EG_ACS_ELEC,
2008,R,Gaza Strip,2008,EG_ACS_ELEC,
2009,R,Gaza Strip,2009,EG_ACS_ELEC,
2010,R,Gaza Strip,2010,EG_ACS_ELEC,
2011,R,Gaza Strip,2011,EG_ACS_ELEC,
2012,R,Gaza Strip,2012,EG_ACS_ELEC,
2013,R,Gaza Strip,2013,EG_ACS_ELEC,
2015,R,Gaza Strip,2015,EG_ACS_ELEC,
2017,R,Gaza Strip,2017,EG_ACS_ELEC,
2001,R,PS,2001,EG_ACS_ELEC,88.9
2003,R,PS,2003,EG_ACS_ELEC,99.1
2004,R,PS,2004,EG_ACS_ELEC,98.8
2005,R,PS,2005,EG_ACS_ELEC,99.1
2006,R,PS,2006,EG_ACS_ELEC,98.8
2007,R,PS,2007,EG_ACS_ELEC,
2008,R,PS,2008,EG_ACS_ELEC,99.5
2009,R,PS,2009,EG_ACS_ELEC,99.9
2010,R,PS,2010,EG_ACS_ELEC,
2011,R,PS,2011,EG_ACS_ELEC,
2012,R,PS,2012,EG_ACS_ELEC,
2013,R,PS,2013,EG_ACS_ELEC,
2015,R,PS,2015,EG_ACS_ELEC,
2017,R,PS,2017,EG_ACS_ELEC,99.8
2001,Camp,West Bank,2001,EG_ACS_ELEC,
2003,Camp,West Bank,2003,EG_ACS_ELEC,
2004,Camp,West Bank,2004,EG_ACS_ELEC,
2005,Camp,West Bank,2005,EG_ACS_ELEC,
2006,Camp,West Bank,2006,EG_ACS_ELEC,
2007,Camp,West Bank,2007,EG_ACS_ELEC,
2008,Camp,West Bank,2008,EG_ACS_ELEC,
2009,Camp,West Bank,2009,EG_ACS_ELEC,
2010,Camp,West Bank,2010,EG_ACS_ELEC,
2011,Camp,West Bank,2011,EG_ACS_ELEC,
2012,Camp,West Bank,2012,EG_ACS_ELEC,
2013,Camp,West Bank,2013,EG_ACS_ELEC,
2015,Camp,West Bank,2015,EG_ACS_ELEC,
2017,Camp,West Bank,2017,EG_ACS_ELEC,
2001,Camp,Gaza Strip,2001,EG_ACS_ELEC,
2003,Camp,Gaza Strip,2003,EG_ACS_ELEC,
2004,Camp,Gaza Strip,2004,EG_ACS_ELEC,
2005,Camp,Gaza Strip,2005,EG_ACS_ELEC,
2006,Camp,Gaza Strip,2006,EG_ACS_ELEC,
2007,Camp,Gaza Strip,2007,EG_ACS_ELEC,
2008,Camp,Gaza Strip,2008,EG_ACS_ELEC,
2009,Camp,Gaza Strip,2009,EG_ACS_ELEC,
2010,Camp,Gaza Strip,2010,EG_ACS_ELEC,
2011,Camp,Gaza Strip,2011,EG_ACS_ELEC,
2012,Camp,Gaza Strip,2012,EG_ACS_ELEC,
2013,Camp,Gaza Strip,2013,EG_ACS_ELEC,
2015,Camp,Gaza Strip,2015,EG_ACS_ELEC,
2017,Camp,Gaza Strip,2017,EG_ACS_ELEC,
2001,Camp,PS,2001,EG_ACS_ELEC,99.9
2003,Camp,PS,2003,EG_ACS_ELEC,100.0
2004,Camp,PS,2004,EG_ACS_ELEC,99.8
2005,Camp,PS,2005,EG_ACS_ELEC,99.6
2006,Camp,PS,2006,EG_ACS_ELEC,99.7
2007,Camp,PS,2007,EG_ACS_ELEC,
2008,Camp,PS,2008,EG_ACS_ELEC,99.6
2009,Camp,PS,2009,EG_ACS_ELEC,99.9
2010,Camp,PS,2010,EG_ACS_ELEC,
2011,Camp,PS,2011,EG_ACS_ELEC,
2012,Camp,PS,2012,EG_ACS_ELEC,
2013,Camp,PS,2013,EG_ACS_ELEC,
2015,Camp,PS,2015,EG_ACS_ELEC,
2017,Camp,PS,2017,EG_ACS_ELEC,100.0
