Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,West Bank,N,2015,SH_STA_MALR,PER_1000_POP,0
2016,West Bank,N,2016,SH_STA_MALR,PER_1000_POP,0
2017,West Bank,N,2017,SH_STA_MALR,PER_1000_POP,0
2018,West Bank,N,2018,SH_STA_MALR,PER_1000_POP,0
2019,West Bank,N,2019,SH_STA_MALR,PER_1000_POP,0
2015,Gaza Strip,N,2015,SH_STA_MALR,PER_1000_POP,0
2016,Gaza Strip,N,2016,SH_STA_MALR,PER_1000_POP,0
2017,Gaza Strip,N,2017,SH_STA_MALR,PER_1000_POP,0
2018,Gaza Strip,N,2018,SH_STA_MALR,PER_1000_POP,0
2019,Gaza Strip,N,2019,SH_STA_MALR,PER_1000_POP,0
2015,PS,N,2015,SH_STA_MALR,PER_1000_POP,0
2016,PS,N,2016,SH_STA_MALR,PER_1000_POP,0
2017,PS,N,2017,SH_STA_MALR,PER_1000_POP,0
2018,PS,N,2018,SH_STA_MALR,PER_1000_POP,0
2019,PS,N,2019,SH_STA_MALR,PER_1000_POP,0
