Year,SEX,TIME_DETAIL,SERIES,Value
2000,M,2000,SL_DOM_TSPD,0.03
2013,M,2013,SL_DOM_TSPD,0.03
2000,F,2000,SL_DOM_TSPD,0.2
2013,F,2013,SL_DOM_TSPD,0.18
