Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,2000,SG_STT_FPOS,NUMBER,1
2001,2001,SG_STT_FPOS,NUMBER,1
2002,2002,SG_STT_FPOS,NUMBER,1
2003,2003,SG_STT_FPOS,NUMBER,1
2004,2004,SG_STT_FPOS,NUMBER,1
2005,2005,SG_STT_FPOS,NUMBER,1
2006,2006,SG_STT_FPOS,NUMBER,1
2007,2007,SG_STT_FPOS,NUMBER,1
2008,2008,SG_STT_FPOS,NUMBER,1
2009,2009,SG_STT_FPOS,NUMBER,1
2010,2010,SG_STT_FPOS,NUMBER,1
2011,2011,SG_STT_FPOS,NUMBER,1
2012,2012,SG_STT_FPOS,NUMBER,1
2013,2013,SG_STT_FPOS,NUMBER,1
2014,2014,SG_STT_FPOS,NUMBER,1
2015,2015,SG_STT_FPOS,NUMBER,1
2016,2016,SG_STT_FPOS,NUMBER,1
2017,2017,SG_STT_FPOS,NUMBER,1
2018,2018,SG_STT_FPOS,NUMBER,1
2019,2019,SG_STT_FPOS,NUMBER,1
