Year,TIME_DETAIL,Value
2001,2001,3.35
2002,2002,3.92
2003,2003,3.75
2004,2004,4.76
2005,2005,4.98
2006,2006,4.51
2007,2007,4.41
2008,2008,3.97
2009,2009,3.74
2010,2010,3.67
2011,2011,3.57
2012,2012,3.31
2013,2013,3.4
2014,2014,3.83
2015,2015,3.9
2016,2016,3.96
2017,2017,3.75
2018,2018,3.6
