Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,Jenin,N,2000,SL_TLF_UEM,NUMBER,18.4
2001,M,Jenin,N,2001,SL_TLF_UEM,NUMBER,40.9
2002,M,Jenin,N,2002,SL_TLF_UEM,NUMBER,48.2
2003,M,Jenin,N,2003,SL_TLF_UEM,NUMBER,39.0
2004,M,Jenin,N,2004,SL_TLF_UEM,NUMBER,30.7
2005,M,Jenin,N,2005,SL_TLF_UEM,NUMBER,25.7
2006,M,Jenin,N,2006,SL_TLF_UEM,NUMBER,23.5
2007,M,Jenin,N,2007,SL_TLF_UEM,NUMBER,20.3
2008,M,Jenin,N,2008,SL_TLF_UEM,NUMBER,24.6
2009,M,Jenin,N,2009,SL_TLF_UEM,NUMBER,18.6
2010,M,Jenin,N,2010,SL_TLF_UEM,NUMBER,15.4
2011,M,Jenin,N,2011,SL_TLF_UEM,NUMBER,12.3
2012,M,Jenin,N,2012,SL_TLF_UEM,NUMBER,12.9
2013,M,Jenin,N,2013,SL_TLF_UEM,NUMBER,15.1
2014,M,Jenin,N,2014,SL_TLF_UEM,NUMBER,12.1
2015,M,Jenin,N,2015,SL_TLF_UEM,NUMBER,13.7
2016,M,Jenin,N,2016,SL_TLF_UEM,NUMBER,15.5
2017,M,Jenin,N,2017,SL_TLF_UEM,NUMBER,13.7
2018,M,Jenin,N,2018,SL_TLF_UEM,NUMBER,16.8
2000,M,Tubas & Northern Valleys,N,2000,SL_TLF_UEM,NUMBER,16.3
2001,M,Tubas & Northern Valleys,N,2001,SL_TLF_UEM,NUMBER,33.6
2002,M,Tubas & Northern Valleys,N,2002,SL_TLF_UEM,NUMBER,41.8
2003,M,Tubas & Northern Valleys,N,2003,SL_TLF_UEM,NUMBER,27.0
2004,M,Tubas & Northern Valleys,N,2004,SL_TLF_UEM,NUMBER,22.9
2005,M,Tubas & Northern Valleys,N,2005,SL_TLF_UEM,NUMBER,18.3
2006,M,Tubas & Northern Valleys,N,2006,SL_TLF_UEM,NUMBER,17.5
2007,M,Tubas & Northern Valleys,N,2007,SL_TLF_UEM,NUMBER,20.3
2008,M,Tubas & Northern Valleys,N,2008,SL_TLF_UEM,NUMBER,16.7
2009,M,Tubas & Northern Valleys,N,2009,SL_TLF_UEM,NUMBER,11.3
2010,M,Tubas & Northern Valleys,N,2010,SL_TLF_UEM,NUMBER,11.4
2011,M,Tubas & Northern Valleys,N,2011,SL_TLF_UEM,NUMBER,14.0
2012,M,Tubas & Northern Valleys,N,2012,SL_TLF_UEM,NUMBER,13.7
2013,M,Tubas & Northern Valleys,N,2013,SL_TLF_UEM,NUMBER,14.2
2014,M,Tubas & Northern Valleys,N,2014,SL_TLF_UEM,NUMBER,11.4
2015,M,Tubas & Northern Valleys,N,2015,SL_TLF_UEM,NUMBER,15.5
2016,M,Tubas & Northern Valleys,N,2016,SL_TLF_UEM,NUMBER,15.4
2017,M,Tubas & Northern Valleys,N,2017,SL_TLF_UEM,NUMBER,17.6
2018,M,Tubas & Northern Valleys,N,2018,SL_TLF_UEM,NUMBER,13.9
2000,M,Tulkarm,N,2000,SL_TLF_UEM,NUMBER,17.3
2001,M,Tulkarm,N,2001,SL_TLF_UEM,NUMBER,22.3
2002,M,Tulkarm,N,2002,SL_TLF_UEM,NUMBER,25.9
2003,M,Tulkarm,N,2003,SL_TLF_UEM,NUMBER,26.9
2004,M,Tulkarm,N,2004,SL_TLF_UEM,NUMBER,22.8
2005,M,Tulkarm,N,2005,SL_TLF_UEM,NUMBER,21.4
2006,M,Tulkarm,N,2006,SL_TLF_UEM,NUMBER,21.6
2007,M,Tulkarm,N,2007,SL_TLF_UEM,NUMBER,19.4
2008,M,Tulkarm,N,2008,SL_TLF_UEM,NUMBER,19.6
2009,M,Tulkarm,N,2009,SL_TLF_UEM,NUMBER,18.4
2010,M,Tulkarm,N,2010,SL_TLF_UEM,NUMBER,19.9
2011,M,Tulkarm,N,2011,SL_TLF_UEM,NUMBER,20.5
2012,M,Tulkarm,N,2012,SL_TLF_UEM,NUMBER,25.9
2013,M,Tulkarm,N,2013,SL_TLF_UEM,NUMBER,17.8
2014,M,Tulkarm,N,2014,SL_TLF_UEM,NUMBER,10.8
2015,M,Tulkarm,N,2015,SL_TLF_UEM,NUMBER,13.3
2016,M,Tulkarm,N,2016,SL_TLF_UEM,NUMBER,12.7
2017,M,Tulkarm,N,2017,SL_TLF_UEM,NUMBER,13.2
2018,M,Tulkarm,N,2018,SL_TLF_UEM,NUMBER,14.7
2000,M,Nablus,N,2000,SL_TLF_UEM,NUMBER,10.2
2001,M,Nablus,N,2001,SL_TLF_UEM,NUMBER,23.0
2002,M,Nablus,N,2002,SL_TLF_UEM,NUMBER,30.7
2003,M,Nablus,N,2003,SL_TLF_UEM,NUMBER,25.9
2004,M,Nablus,N,2004,SL_TLF_UEM,NUMBER,20.0
2005,M,Nablus,N,2005,SL_TLF_UEM,NUMBER,16.8
2006,M,Nablus,N,2006,SL_TLF_UEM,NUMBER,16.9
2007,M,Nablus,N,2007,SL_TLF_UEM,NUMBER,15.4
2008,M,Nablus,N,2008,SL_TLF_UEM,NUMBER,15.0
2009,M,Nablus,N,2009,SL_TLF_UEM,NUMBER,12.9
2010,M,Nablus,N,2010,SL_TLF_UEM,NUMBER,13.8
2011,M,Nablus,N,2011,SL_TLF_UEM,NUMBER,11.8
2012,M,Nablus,N,2012,SL_TLF_UEM,NUMBER,10.6
2013,M,Nablus,N,2013,SL_TLF_UEM,NUMBER,12.1
2014,M,Nablus,N,2014,SL_TLF_UEM,NUMBER,14.0
2015,M,Nablus,N,2015,SL_TLF_UEM,NUMBER,12.8
2016,M,Nablus,N,2016,SL_TLF_UEM,NUMBER,11.9
2017,M,Nablus,N,2017,SL_TLF_UEM,NUMBER,16.1
2018,M,Nablus,N,2018,SL_TLF_UEM,NUMBER,13.4
2000,M,Qalqiliya,N,2000,SL_TLF_UEM,NUMBER,18.2
2001,M,Qalqiliya,N,2001,SL_TLF_UEM,NUMBER,36.7
2002,M,Qalqiliya,N,2002,SL_TLF_UEM,NUMBER,30.8
2003,M,Qalqiliya,N,2003,SL_TLF_UEM,NUMBER,27.1
2004,M,Qalqiliya,N,2004,SL_TLF_UEM,NUMBER,24.2
2005,M,Qalqiliya,N,2005,SL_TLF_UEM,NUMBER,21.2
2006,M,Qalqiliya,N,2006,SL_TLF_UEM,NUMBER,16.1
2007,M,Qalqiliya,N,2007,SL_TLF_UEM,NUMBER,16.9
2008,M,Qalqiliya,N,2008,SL_TLF_UEM,NUMBER,22.6
2009,M,Qalqiliya,N,2009,SL_TLF_UEM,NUMBER,20.2
2010,M,Qalqiliya,N,2010,SL_TLF_UEM,NUMBER,18.5
2011,M,Qalqiliya,N,2011,SL_TLF_UEM,NUMBER,20.0
2012,M,Qalqiliya,N,2012,SL_TLF_UEM,NUMBER,20.1
2013,M,Qalqiliya,N,2013,SL_TLF_UEM,NUMBER,14.6
2014,M,Qalqiliya,N,2014,SL_TLF_UEM,NUMBER,10.9
2015,M,Qalqiliya,N,2015,SL_TLF_UEM,NUMBER,10.9
2016,M,Qalqiliya,N,2016,SL_TLF_UEM,NUMBER,10.1
2017,M,Qalqiliya,N,2017,SL_TLF_UEM,NUMBER,7.2
2018,M,Qalqiliya,N,2018,SL_TLF_UEM,NUMBER,2.8
2000,M,Salfit,N,2000,SL_TLF_UEM,NUMBER,18.8
2001,M,Salfit,N,2001,SL_TLF_UEM,NUMBER,47.0
2002,M,Salfit,N,2002,SL_TLF_UEM,NUMBER,34.4
2003,M,Salfit,N,2003,SL_TLF_UEM,NUMBER,27.3
2004,M,Salfit,N,2004,SL_TLF_UEM,NUMBER,21.7
2005,M,Salfit,N,2005,SL_TLF_UEM,NUMBER,22.1
2006,M,Salfit,N,2006,SL_TLF_UEM,NUMBER,18.2
2007,M,Salfit,N,2007,SL_TLF_UEM,NUMBER,18.2
2008,M,Salfit,N,2008,SL_TLF_UEM,NUMBER,19.5
2009,M,Salfit,N,2009,SL_TLF_UEM,NUMBER,14.0
2010,M,Salfit,N,2010,SL_TLF_UEM,NUMBER,12.7
2011,M,Salfit,N,2011,SL_TLF_UEM,NUMBER,13.7
2012,M,Salfit,N,2012,SL_TLF_UEM,NUMBER,13.5
2013,M,Salfit,N,2013,SL_TLF_UEM,NUMBER,17.4
2014,M,Salfit,N,2014,SL_TLF_UEM,NUMBER,13.8
2015,M,Salfit,N,2015,SL_TLF_UEM,NUMBER,11.9
2016,M,Salfit,N,2016,SL_TLF_UEM,NUMBER,13.9
2017,M,Salfit,N,2017,SL_TLF_UEM,NUMBER,14.6
2018,M,Salfit,N,2018,SL_TLF_UEM,NUMBER,17.6
2000,M,Ramallah & Al-Bireh,N,2000,SL_TLF_UEM,NUMBER,9.9
2001,M,Ramallah & Al-Bireh,N,2001,SL_TLF_UEM,NUMBER,28.4
2002,M,Ramallah & Al-Bireh,N,2002,SL_TLF_UEM,NUMBER,28.1
2003,M,Ramallah & Al-Bireh,N,2003,SL_TLF_UEM,NUMBER,21.8
2004,M,Ramallah & Al-Bireh,N,2004,SL_TLF_UEM,NUMBER,20.8
2005,M,Ramallah & Al-Bireh,N,2005,SL_TLF_UEM,NUMBER,16.2
2006,M,Ramallah & Al-Bireh,N,2006,SL_TLF_UEM,NUMBER,15.4
2007,M,Ramallah & Al-Bireh,N,2007,SL_TLF_UEM,NUMBER,15.7
2008,M,Ramallah & Al-Bireh,N,2008,SL_TLF_UEM,NUMBER,17.8
2009,M,Ramallah & Al-Bireh,N,2009,SL_TLF_UEM,NUMBER,17.3
2010,M,Ramallah & Al-Bireh,N,2010,SL_TLF_UEM,NUMBER,15.3
2011,M,Ramallah & Al-Bireh,N,2011,SL_TLF_UEM,NUMBER,15.5
2012,M,Ramallah & Al-Bireh,N,2012,SL_TLF_UEM,NUMBER,16.5
2013,M,Ramallah & Al-Bireh,N,2013,SL_TLF_UEM,NUMBER,16.6
2014,M,Ramallah & Al-Bireh,N,2014,SL_TLF_UEM,NUMBER,12.8
2015,M,Ramallah & Al-Bireh,N,2015,SL_TLF_UEM,NUMBER,17.5
2016,M,Ramallah & Al-Bireh,N,2016,SL_TLF_UEM,NUMBER,14.7
2017,M,Ramallah & Al-Bireh,N,2017,SL_TLF_UEM,NUMBER,15.5
2018,M,Ramallah & Al-Bireh,N,2018,SL_TLF_UEM,NUMBER,14.4
2000,M,Jericho & AL Aghwar,N,2000,SL_TLF_UEM,NUMBER,7.9
2001,M,Jericho & AL Aghwar,N,2001,SL_TLF_UEM,NUMBER,12.8
2002,M,Jericho & AL Aghwar,N,2002,SL_TLF_UEM,NUMBER,11.6
2003,M,Jericho & AL Aghwar,N,2003,SL_TLF_UEM,NUMBER,9.2
2004,M,Jericho & AL Aghwar,N,2004,SL_TLF_UEM,NUMBER,12.3
2005,M,Jericho & AL Aghwar,N,2005,SL_TLF_UEM,NUMBER,13.0
2006,M,Jericho & AL Aghwar,N,2006,SL_TLF_UEM,NUMBER,14.9
2007,M,Jericho & AL Aghwar,N,2007,SL_TLF_UEM,NUMBER,7.8
2008,M,Jericho & AL Aghwar,N,2008,SL_TLF_UEM,NUMBER,10.0
2009,M,Jericho & AL Aghwar,N,2009,SL_TLF_UEM,NUMBER,8.6
2010,M,Jericho & AL Aghwar,N,2010,SL_TLF_UEM,NUMBER,13.2
2011,M,Jericho & AL Aghwar,N,2011,SL_TLF_UEM,NUMBER,11.9
2012,M,Jericho & AL Aghwar,N,2012,SL_TLF_UEM,NUMBER,15.5
2013,M,Jericho & AL Aghwar,N,2013,SL_TLF_UEM,NUMBER,14.9
2014,M,Jericho & AL Aghwar,N,2014,SL_TLF_UEM,NUMBER,16.4
2015,M,Jericho & AL Aghwar,N,2015,SL_TLF_UEM,NUMBER,12.4
2016,M,Jericho & AL Aghwar,N,2016,SL_TLF_UEM,NUMBER,9.5
2017,M,Jericho & AL Aghwar,N,2017,SL_TLF_UEM,NUMBER,12.3
2018,M,Jericho & AL Aghwar,N,2018,SL_TLF_UEM,NUMBER,15.8
2000,M,Jerusalem,N,2000,SL_TLF_UEM,NUMBER,12.4
2001,M,Jerusalem,N,2001,SL_TLF_UEM,NUMBER,17.2
2002,M,Jerusalem,N,2002,SL_TLF_UEM,NUMBER,31.0
2003,M,Jerusalem,N,2003,SL_TLF_UEM,NUMBER,24.3
2004,M,Jerusalem,N,2004,SL_TLF_UEM,NUMBER,25.1
2005,M,Jerusalem,N,2005,SL_TLF_UEM,NUMBER,18.3
2006,M,Jerusalem,N,2006,SL_TLF_UEM,NUMBER,14.8
2007,M,Jerusalem,N,2007,SL_TLF_UEM,NUMBER,15.4
2008,M,Jerusalem,N,2008,SL_TLF_UEM,NUMBER,12.2
2009,M,Jerusalem,N,2009,SL_TLF_UEM,NUMBER,11.3
2010,M,Jerusalem,N,2010,SL_TLF_UEM,NUMBER,11.3
2011,M,Jerusalem,N,2011,SL_TLF_UEM,NUMBER,11.9
2012,M,Jerusalem,N,2012,SL_TLF_UEM,NUMBER,17.3
2013,M,Jerusalem,N,2013,SL_TLF_UEM,NUMBER,18.1
2014,M,Jerusalem,N,2014,SL_TLF_UEM,NUMBER,16.8
2015,M,Jerusalem,N,2015,SL_TLF_UEM,NUMBER,12.2
2016,M,Jerusalem,N,2016,SL_TLF_UEM,NUMBER,15.6
2017,M,Jerusalem,N,2017,SL_TLF_UEM,NUMBER,10.8
2018,M,Jerusalem,N,2018,SL_TLF_UEM,NUMBER,9.1
2000,M,Bethlehem,N,2000,SL_TLF_UEM,NUMBER,10.4
2001,M,Bethlehem,N,2001,SL_TLF_UEM,NUMBER,12.1
2002,M,Bethlehem,N,2002,SL_TLF_UEM,NUMBER,22.7
2003,M,Bethlehem,N,2003,SL_TLF_UEM,NUMBER,19.8
2004,M,Bethlehem,N,2004,SL_TLF_UEM,NUMBER,23.2
2005,M,Bethlehem,N,2005,SL_TLF_UEM,NUMBER,14.2
2006,M,Bethlehem,N,2006,SL_TLF_UEM,NUMBER,13.8
2007,M,Bethlehem,N,2007,SL_TLF_UEM,NUMBER,18.8
2008,M,Bethlehem,N,2008,SL_TLF_UEM,NUMBER,23.0
2009,M,Bethlehem,N,2009,SL_TLF_UEM,NUMBER,20.4
2010,M,Bethlehem,N,2010,SL_TLF_UEM,NUMBER,20.2
2011,M,Bethlehem,N,2011,SL_TLF_UEM,NUMBER,18.3
2012,M,Bethlehem,N,2012,SL_TLF_UEM,NUMBER,20.2
2013,M,Bethlehem,N,2013,SL_TLF_UEM,NUMBER,20.3
2014,M,Bethlehem,N,2014,SL_TLF_UEM,NUMBER,17.7
2015,M,Bethlehem,N,2015,SL_TLF_UEM,NUMBER,11.3
2016,M,Bethlehem,N,2016,SL_TLF_UEM,NUMBER,17.9
2017,M,Bethlehem,N,2017,SL_TLF_UEM,NUMBER,17.1
2018,M,Bethlehem,N,2018,SL_TLF_UEM,NUMBER,17.8
2000,M,Hebron,N,2000,SL_TLF_UEM,NUMBER,10.5
2001,M,Hebron,N,2001,SL_TLF_UEM,NUMBER,17.0
2002,M,Hebron,N,2002,SL_TLF_UEM,NUMBER,28.7
2003,M,Hebron,N,2003,SL_TLF_UEM,NUMBER,23.3
2004,M,Hebron,N,2004,SL_TLF_UEM,NUMBER,27.6
2005,M,Hebron,N,2005,SL_TLF_UEM,NUMBER,27.9
2006,M,Hebron,N,2006,SL_TLF_UEM,NUMBER,24.9
2007,M,Hebron,N,2007,SL_TLF_UEM,NUMBER,23.9
2008,M,Hebron,N,2008,SL_TLF_UEM,NUMBER,28.1
2009,M,Hebron,N,2009,SL_TLF_UEM,NUMBER,23.2
2010,M,Hebron,N,2010,SL_TLF_UEM,NUMBER,21.3
2011,M,Hebron,N,2011,SL_TLF_UEM,NUMBER,19.7
2012,M,Hebron,N,2012,SL_TLF_UEM,NUMBER,20.4
2013,M,Hebron,N,2013,SL_TLF_UEM,NUMBER,21.6
2014,M,Hebron,N,2014,SL_TLF_UEM,NUMBER,18.6
2015,M,Hebron,N,2015,SL_TLF_UEM,NUMBER,18.1
2016,M,Hebron,N,2016,SL_TLF_UEM,NUMBER,18.3
2017,M,Hebron,N,2017,SL_TLF_UEM,NUMBER,19.0
2018,M,Hebron,N,2018,SL_TLF_UEM,NUMBER,17.1
2000,M,North Gaza,N,2000,SL_TLF_UEM,NUMBER,17.0
2001,M,North Gaza,N,2001,SL_TLF_UEM,NUMBER,36.4
