Year,AREA,TIME_DETAIL,Value
2000,West Bank,2000,2.4
2001,West Bank,2001,3.2
2002,West Bank,2002,4.7
2003,West Bank,2003,5.0
2004,West Bank,2004,5.0
2005,West Bank,2005,4.7
2008,West Bank,2008,2.2
2010,West Bank,2010,1.7
2011,West Bank,2011,1.3
2012,West Bank,2012,1.2
2013,West Bank,2013,1.0
2014,West Bank,2014,1.0
2015,West Bank,2015,2.2
2016,West Bank,2016,0.7
2017,West Bank,2017,1.3
2018,West Bank,2018,0.9
2019,West Bank,2019,1.3
2000,Gaza Strip,2000,1.9
2001,Gaza Strip,2001,2.5
2002,Gaza Strip,2002,2.8
2003,Gaza Strip,2003,2.0
2004,Gaza Strip,2004,3.9
2005,Gaza Strip,2005,5.4
2008,Gaza Strip,2008,
2010,Gaza Strip,2010,
2011,Gaza Strip,2011,
2012,Gaza Strip,2012,
2013,Gaza Strip,2013,
2014,Gaza Strip,2014,
2015,Gaza Strip,2015,
2016,Gaza Strip,2016,
2017,Gaza Strip,2017,
2018,Gaza Strip,2018,
2019,Gaza Strip,2019,
2000,Palestine,2000,2.2
2001,Palestine,2001,2.9
2002,Palestine,2002,3.9
2003,Palestine,2003,3.8
2004,Palestine,2004,4.5
2005,Palestine,2005,4.7
2008,Palestine,2008,
2010,Palestine,2010,
2011,Palestine,2011,
2012,Palestine,2012,
2013,Palestine,2013,
2014,Palestine,2014,
2015,Palestine,2015,
2016,Palestine,2016,
2017,Palestine,2017,
2018,Palestine,2018,
2019,Palestine,2019,
