Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2010,West Bank,N,2010,GF_XPD_GBPC,PT,
2011,West Bank,N,2011,GF_XPD_GBPC,PT,
2012,West Bank,N,2012,GF_XPD_GBPC,PT,
2013,West Bank,N,2013,GF_XPD_GBPC,PT,
2014,West Bank,N,2014,GF_XPD_GBPC,PT,
2015,West Bank,N,2015,GF_XPD_GBPC,PT,
2016,West Bank,N,2016,GF_XPD_GBPC,PT,
2017,West Bank,N,2017,GF_XPD_GBPC,PT,
2018,West Bank,N,2018,GF_XPD_GBPC,PT,
2019,West Bank,N,2019,GF_XPD_GBPC,PT,28.2
2010,Gaza Strip,N,2010,GF_XPD_GBPC,PT,
2011,Gaza Strip,N,2011,GF_XPD_GBPC,PT,
2012,Gaza Strip,N,2012,GF_XPD_GBPC,PT,
2013,Gaza Strip,N,2013,GF_XPD_GBPC,PT,
2014,Gaza Strip,N,2014,GF_XPD_GBPC,PT,
2015,Gaza Strip,N,2015,GF_XPD_GBPC,PT,
2016,Gaza Strip,N,2016,GF_XPD_GBPC,PT,
2017,Gaza Strip,N,2017,GF_XPD_GBPC,PT,
2018,Gaza Strip,N,2018,GF_XPD_GBPC,PT,
2019,Gaza Strip,N,2019,GF_XPD_GBPC,PT,105.0
2010,PS,N,2010,GF_XPD_GBPC,PT,20.3
2011,PS,N,2011,GF_XPD_GBPC,PT,25.5
2012,PS,N,2012,GF_XPD_GBPC,PT,25.7
2013,PS,N,2013,GF_XPD_GBPC,PT,26.0
2014,PS,N,2014,GF_XPD_GBPC,PT,27.6
2015,PS,N,2015,GF_XPD_GBPC,PT,28.0
2016,PS,N,2016,GF_XPD_GBPC,PT,26.7
2017,PS,N,2017,GF_XPD_GBPC,PT,27.9
2018,PS,N,2018,GF_XPD_GBPC,PT,25.7
2019,PS,N,2019,GF_XPD_GBPC,PT,25.5
