Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2004,West Bank,N,2004,VC_VOV_PHYL,PH,2.1
2008,West Bank,N,2008,VC_VOV_PHYL,PH,2.4
2012,West Bank,N,2012,VC_VOV_PHYL,PH,3.3
2016,West Bank,N,2016,VC_VOV_PHYL,PH,2.1
2004,Gaza Strip,N,2004,VC_VOV_PHYL,PH,0.6
2008,Gaza Strip,N,2008,VC_VOV_PHYL,PH,3.1
2012,Gaza Strip,N,2012,VC_VOV_PHYL,PH,5.0
2016,Gaza Strip,N,2016,VC_VOV_PHYL,PH,8.0
2004,PS,N,2004,VC_VOV_PHYL,PH,1.6
2008,PS,N,2008,VC_VOV_PHYL,PH,2.6
2012,PS,N,2012,VC_VOV_PHYL,PH,3.9
2016,PS,N,2016,VC_VOV_PHYL,PH,4.2
