Year,TIME_DETAIL,SERIES,Value
2014,2014,SG_STT_NSDSFDDNR,1
2015,2015,SG_STT_NSDSFDDNR,1
2016,2016,SG_STT_NSDSFDDNR,1
2017,2017,SG_STT_NSDSFDDNR,1
2018,2018,SG_STT_NSDSFDDNR,1
