Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2002,2002,SE_PRE_PARTN,NUMBER,160
2006,2006,SE_PRE_PARTN,NUMBER,170
2009,2009,SE_PRE_PARTN,NUMBER,150
2012,2012,SE_PRE_PARTN,NUMBER,120
2015,2015,SE_PRE_PARTN,NUMBER,100
