Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,N,2000,SG_INT_MBRDEV,PT,2
2001,N,2001,SG_INT_MBRDEV,PT,2
2002,N,2002,SG_INT_MBRDEV,PT,2
2003,N,2003,SG_INT_MBRDEV,PT,2
2004,N,2004,SG_INT_MBRDEV,PT,2
2005,N,2005,SG_INT_MBRDEV,PT,2
2006,N,2006,SG_INT_MBRDEV,PT,2
2007,N,2007,SG_INT_MBRDEV,PT,2
2008,N,2008,SG_INT_MBRDEV,PT,2
2009,N,2009,SG_INT_MBRDEV,PT,2
2010,N,2010,SG_INT_MBRDEV,PT,2
2011,N,2011,SG_INT_MBRDEV,PT,2
2012,N,2012,SG_INT_MBRDEV,PT,2
2013,N,2013,SG_INT_MBRDEV,PT,2
2014,N,2014,SG_INT_MBRDEV,PT,2
2015,N,2015,SG_INT_MBRDEV,PT,2
2016,N,2016,SG_INT_MBRDEV,PT,2
2017,N,2017,SG_INT_MBRDEV,PT,2
2018,N,2018,SG_INT_MBRDEV,PT,2
2019,N,2019,SG_INT_MBRDEV,PT,2
