Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2006,2006,EN_ATM_CO2,NUMBER,362
2007,2007,EN_ATM_CO2,NUMBER,336
2008,2008,EN_ATM_CO2,NUMBER,305
2009,2009,EN_ATM_CO2,NUMBER,326
2010,2010,EN_ATM_CO2,NUMBER,326
2011,2011,EN_ATM_CO2,NUMBER,286
2012,2012,EN_ATM_CO2,NUMBER,282
2013,2013,EN_ATM_CO2,NUMBER,294
2014,2014,EN_ATM_CO2,NUMBER,376
2015,2015,EN_ATM_CO2,NUMBER,355
2016,2016,EN_ATM_CO2,NUMBER,350
2017,2017,EN_ATM_CO2,NUMBER,349
