Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2007,West Bank,N,2007,SG_REG_BRTH90,PT,63.4
2008,West Bank,N,2008,SG_REG_BRTH90,PT,65.6
2009,West Bank,N,2009,SG_REG_BRTH90,PT,66.4
2010,West Bank,N,2010,SG_REG_BRTH90,PT,66.6
2011,West Bank,N,2011,SG_REG_BRTH90,PT,70.5
2012,West Bank,N,2012,SG_REG_BRTH90,PT,71.1
2013,West Bank,N,2013,SG_REG_BRTH90,PT,68.6
2014,West Bank,N,2014,SG_REG_BRTH90,PT,68.6
2015,West Bank,N,2015,SG_REG_BRTH90,PT,75.1
2017,West Bank,N,2017,SG_REG_BRTH90,PT,66.2
2007,Gaza Strip,N,2007,SG_REG_BRTH90,PT,80.7
2008,Gaza Strip,N,2008,SG_REG_BRTH90,PT,88.5
2009,Gaza Strip,N,2009,SG_REG_BRTH90,PT,97.0
2010,Gaza Strip,N,2010,SG_REG_BRTH90,PT,77.1
2011,Gaza Strip,N,2011,SG_REG_BRTH90,PT,80.2
2012,Gaza Strip,N,2012,SG_REG_BRTH90,PT,85.1
2013,Gaza Strip,N,2013,SG_REG_BRTH90,PT,78.1
2014,Gaza Strip,N,2014,SG_REG_BRTH90,PT,113.7
2015,Gaza Strip,N,2015,SG_REG_BRTH90,PT,76.8
2017,Gaza Strip,N,2017,SG_REG_BRTH90,PT,72.0
2007,PS,N,2007,SG_REG_BRTH90,PT,70.0
2008,PS,N,2008,SG_REG_BRTH90,PT,74.2
2009,PS,N,2009,SG_REG_BRTH90,PT,77.8
2010,PS,N,2010,SG_REG_BRTH90,PT,70.6
2011,PS,N,2011,SG_REG_BRTH90,PT,74.2
2012,PS,N,2012,SG_REG_BRTH90,PT,76.4
2013,PS,N,2013,SG_REG_BRTH90,PT,72.2
2014,PS,N,2014,SG_REG_BRTH90,PT,85.9
2015,PS,N,2015,SG_REG_BRTH90,PT,75.8
2017,PS,N,2017,SG_REG_BRTH90,PT,68.4
