Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,West Bank,N,2000,NV_IND_TECH,PT,8.4
2001,West Bank,N,2001,NV_IND_TECH,PT,8.6
2002,West Bank,N,2002,NV_IND_TECH,PT,11.0
2003,West Bank,N,2003,NV_IND_TECH,PT,10.2
2004,West Bank,N,2004,NV_IND_TECH,PT,6.1
2005,West Bank,N,2005,NV_IND_TECH,PT,7.2
2006,West Bank,N,2006,NV_IND_TECH,PT,7.6
2007,West Bank,N,2007,NV_IND_TECH,PT,5.5
2008,West Bank,N,2008,NV_IND_TECH,PT,5.5
2009,West Bank,N,2009,NV_IND_TECH,PT,7.5
2010,West Bank,N,2010,NV_IND_TECH,PT,5.6
2011,West Bank,N,2011,NV_IND_TECH,PT,0.0
2012,West Bank,N,2012,NV_IND_TECH,PT,5.5
2013,West Bank,N,2013,NV_IND_TECH,PT,8.2
2014,West Bank,N,2014,NV_IND_TECH,PT,6.4
2015,West Bank,N,2015,NV_IND_TECH,PT,7.7
2016,West Bank,N,2016,NV_IND_TECH,PT,10.5
2017,West Bank,N,2017,NV_IND_TECH,PT,6.9
2018,West Bank,N,2018,NV_IND_TECH,PT,7.3
2019,West Bank,N,2019,NV_IND_TECH,PT,6.3
2000,Gaza Strip,N,2000,NV_IND_TECH,PT,6.4
2001,Gaza Strip,N,2001,NV_IND_TECH,PT,3.4
2002,Gaza Strip,N,2002,NV_IND_TECH,PT,4.9
2003,Gaza Strip,N,2003,NV_IND_TECH,PT,5.5
2004,Gaza Strip,N,2004,NV_IND_TECH,PT,9.2
2005,Gaza Strip,N,2005,NV_IND_TECH,PT,8.6
2006,Gaza Strip,N,2006,NV_IND_TECH,PT,5.2
2007,Gaza Strip,N,2007,NV_IND_TECH,PT,6.6
2008,Gaza Strip,N,2008,NV_IND_TECH,PT,7.0
2009,Gaza Strip,N,2009,NV_IND_TECH,PT,7.2
2010,Gaza Strip,N,2010,NV_IND_TECH,PT,2.6
2011,Gaza Strip,N,2011,NV_IND_TECH,PT,0.0
2012,Gaza Strip,N,2012,NV_IND_TECH,PT,4.5
2013,Gaza Strip,N,2013,NV_IND_TECH,PT,4.1
2014,Gaza Strip,N,2014,NV_IND_TECH,PT,16.0
2015,Gaza Strip,N,2015,NV_IND_TECH,PT,9.5
2016,Gaza Strip,N,2016,NV_IND_TECH,PT,5.9
2017,Gaza Strip,N,2017,NV_IND_TECH,PT,4.3
2018,Gaza Strip,N,2018,NV_IND_TECH,PT,6.1
2019,Gaza Strip,N,2019,NV_IND_TECH,PT,4.6
2000,PS,N,2000,NV_IND_TECH,PT,7.9
2001,PS,N,2001,NV_IND_TECH,PT,7.0
2002,PS,N,2002,NV_IND_TECH,PT,9.6
2003,PS,N,2003,NV_IND_TECH,PT,9.0
2004,PS,N,2004,NV_IND_TECH,PT,6.8
2005,PS,N,2005,NV_IND_TECH,PT,7.4
2006,PS,N,2006,NV_IND_TECH,PT,7.1
2007,PS,N,2007,NV_IND_TECH,PT,5.6
2008,PS,N,2008,NV_IND_TECH,PT,5.6
2009,PS,N,2009,NV_IND_TECH,PT,7.5
2010,PS,N,2010,NV_IND_TECH,PT,5.2
2011,PS,N,2011,NV_IND_TECH,PT,0.0
2012,PS,N,2012,NV_IND_TECH,PT,5.4
2013,PS,N,2013,NV_IND_TECH,PT,7.6
2014,PS,N,2014,NV_IND_TECH,PT,8.0
2015,PS,N,2015,NV_IND_TECH,PT,8.1
2016,PS,N,2016,NV_IND_TECH,PT,9.8
2017,PS,N,2017,NV_IND_TECH,PT,6.5
2018,PS,N,2018,NV_IND_TECH,PT,7.2
2019,PS,N,2019,NV_IND_TECH,PT,6.2
