Year,SEX,AGE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2018,M,_T,2018,SE_ADT_EDUCTRN,NUMBER,18.0
2018,M,Y15T24,2018,SE_ADT_EDUCTRN,NUMBER,
2018,M,Y25T64,2018,SE_ADT_EDUCTRN,NUMBER,
2018,M,Y_GE65,2018,SE_ADT_EDUCTRN,NUMBER,
2018,F,_T,2018,SE_ADT_EDUCTRN,NUMBER,22.8
2018,F,Y15T24,2018,SE_ADT_EDUCTRN,NUMBER,
2018,F,Y25T64,2018,SE_ADT_EDUCTRN,NUMBER,
2018,F,Y_GE65,2018,SE_ADT_EDUCTRN,NUMBER,
2018,_T,_T,2018,SE_ADT_EDUCTRN,NUMBER,20.4
2018,_T,Y15T24,2018,SE_ADT_EDUCTRN,NUMBER,53.3
2018,_T,Y25T64,2018,SE_ADT_EDUCTRN,NUMBER,4.6
2018,_T,Y_GE65,2018,SE_ADT_EDUCTRN,NUMBER,0.9
