Year,TIME_DETAIL,Value
2001,2001,17.6
2002,2002,24.0
2003,2003,24.9
2004,2004,24.3
2005,2005,25.4
2006,2006,20.7
2007,2007,22.9
2008,2008,20.3
2009,2009,17.6
2010,2010,19.4
2011,2011,20.1
2012,2012,16.2
2013,2013,15.4
2014,2014,13.8
2015,2015,13.8
2016,2016,13.6
2017,2017,10.3
