Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2001,West Bank,N,2001,SL_EMP_PCAP,NUMBER,-5.64
2002,West Bank,N,2002,SL_EMP_PCAP,NUMBER,-12.18
2003,West Bank,N,2003,SL_EMP_PCAP,NUMBER,-5.11
2004,West Bank,N,2004,SL_EMP_PCAP,NUMBER,16.99
2005,West Bank,N,2005,SL_EMP_PCAP,NUMBER,0.76
2006,West Bank,N,2006,SL_EMP_PCAP,NUMBER,-1.31
2007,West Bank,N,2007,SL_EMP_PCAP,NUMBER,7.0
2008,West Bank,N,2008,SL_EMP_PCAP,NUMBER,17.27
2009,West Bank,N,2009,SL_EMP_PCAP,NUMBER,-0.01
2010,West Bank,N,2010,SL_EMP_PCAP,NUMBER,-0.63
2011,West Bank,N,2011,SL_EMP_PCAP,NUMBER,0.65
2012,West Bank,N,2012,SL_EMP_PCAP,NUMBER,2.81
2013,West Bank,N,2013,SL_EMP_PCAP,NUMBER,3.44
2014,West Bank,N,2014,SL_EMP_PCAP,NUMBER,-3.31
2015,West Bank,N,2015,SL_EMP_PCAP,NUMBER,2.9
2016,West Bank,N,2016,SL_EMP_PCAP,NUMBER,9.76
2017,West Bank,N,2017,SL_EMP_PCAP,NUMBER,3.15
2018,West Bank,N,2018,SL_EMP_PCAP,NUMBER,-16.6
2001,Gaza Strip,N,2001,SL_EMP_PCAP,NUMBER,14.73
2002,Gaza Strip,N,2002,SL_EMP_PCAP,NUMBER,-8.45
2003,Gaza Strip,N,2003,SL_EMP_PCAP,NUMBER,-4.96
2004,Gaza Strip,N,2004,SL_EMP_PCAP,NUMBER,35.33
2005,Gaza Strip,N,2005,SL_EMP_PCAP,NUMBER,-5.48
2006,Gaza Strip,N,2006,SL_EMP_PCAP,NUMBER,-16.27
2007,Gaza Strip,N,2007,SL_EMP_PCAP,NUMBER,-25.19
2008,Gaza Strip,N,2008,SL_EMP_PCAP,NUMBER,2.44
2009,Gaza Strip,N,2009,SL_EMP_PCAP,NUMBER,0.89
2010,Gaza Strip,N,2010,SL_EMP_PCAP,NUMBER,6.76
2011,Gaza Strip,N,2011,SL_EMP_PCAP,NUMBER,-12.44
2012,Gaza Strip,N,2012,SL_EMP_PCAP,NUMBER,3.12
2013,Gaza Strip,N,2013,SL_EMP_PCAP,NUMBER,4.0
2014,Gaza Strip,N,2014,SL_EMP_PCAP,NUMBER,-7.02
2015,Gaza Strip,N,2015,SL_EMP_PCAP,NUMBER,-8.24
2016,Gaza Strip,N,2016,SL_EMP_PCAP,NUMBER,5.0
2017,Gaza Strip,N,2017,SL_EMP_PCAP,NUMBER,-5.31
2018,Gaza Strip,N,2018,SL_EMP_PCAP,NUMBER,5.77
2001,PS,N,2001,SL_EMP_PCAP,NUMBER,0.29
2002,PS,N,2002,SL_EMP_PCAP,NUMBER,-10.98
2003,PS,N,2003,SL_EMP_PCAP,NUMBER,-4.94
2004,PS,N,2004,SL_EMP_PCAP,NUMBER,8.19
2005,PS,N,2005,SL_EMP_PCAP,NUMBER,-17.14
2006,PS,N,2006,SL_EMP_PCAP,NUMBER,4.01
2007,PS,N,2007,SL_EMP_PCAP,NUMBER,-3.9
2008,PS,N,2008,SL_EMP_PCAP,NUMBER,14.08
2009,PS,N,2009,SL_EMP_PCAP,NUMBER,0.44
2010,PS,N,2010,SL_EMP_PCAP,NUMBER,1.19
2011,PS,N,2011,SL_EMP_PCAP,NUMBER,-3.79
2012,PS,N,2012,SL_EMP_PCAP,NUMBER,2.63
2013,PS,N,2013,SL_EMP_PCAP,NUMBER,3.2
2014,PS,N,2014,SL_EMP_PCAP,NUMBER,-2.62
2015,PS,N,2015,SL_EMP_PCAP,NUMBER,-0.55
2016,PS,N,2016,SL_EMP_PCAP,NUMBER,8.07
2017,PS,N,2017,SL_EMP_PCAP,NUMBER,1.88
2018,PS,N,2018,SL_EMP_PCAP,NUMBER,-9.62
