Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,2000,SG_GEN_LOCGELS,,
2004,M,West Bank,2004,SG_GEN_LOCGELS,,
2005,M,West Bank,2005,SG_GEN_LOCGELS,,
2012,M,West Bank,2012,SG_GEN_LOCGELS,,
2013,M,West Bank,2013,SG_GEN_LOCGELS,,
2017,M,West Bank,2017,SG_GEN_LOCGELS,,
2018,M,West Bank,2018,SG_GEN_LOCGELS,,
2019,M,West Bank,2019,SG_GEN_LOCGELS,,
2000,M,Gaza Strip,2000,SG_GEN_LOCGELS,,
2004,M,Gaza Strip,2004,SG_GEN_LOCGELS,,
2005,M,Gaza Strip,2005,SG_GEN_LOCGELS,,
2012,M,Gaza Strip,2012,SG_GEN_LOCGELS,,
2013,M,Gaza Strip,2013,SG_GEN_LOCGELS,,
2017,M,Gaza Strip,2017,SG_GEN_LOCGELS,,
2018,M,Gaza Strip,2018,SG_GEN_LOCGELS,,
2019,M,Gaza Strip,2019,SG_GEN_LOCGELS,,
2000,M,PS,2000,SG_GEN_LOCGELS,,98.6
2004,M,PS,2004,SG_GEN_LOCGELS,,86.3
2005,M,PS,2005,SG_GEN_LOCGELS,,86.3
2012,M,PS,2012,SG_GEN_LOCGELS,,79.0
2013,M,PS,2013,SG_GEN_LOCGELS,,79.0
2017,M,PS,2017,SG_GEN_LOCGELS,,79.0
2018,M,PS,2018,SG_GEN_LOCGELS,,79.0
2019,M,PS,2019,SG_GEN_LOCGELS,,79.9
2000,F,West Bank,2000,SG_GEN_LOCGELS,,
2004,F,West Bank,2004,SG_GEN_LOCGELS,,
2005,F,West Bank,2005,SG_GEN_LOCGELS,,
2012,F,West Bank,2012,SG_GEN_LOCGELS,,
2013,F,West Bank,2013,SG_GEN_LOCGELS,,
2017,F,West Bank,2017,SG_GEN_LOCGELS,,
2018,F,West Bank,2018,SG_GEN_LOCGELS,,
2019,F,West Bank,2019,SG_GEN_LOCGELS,,
2000,F,Gaza Strip,2000,SG_GEN_LOCGELS,,
2004,F,Gaza Strip,2004,SG_GEN_LOCGELS,,
2005,F,Gaza Strip,2005,SG_GEN_LOCGELS,,
2012,F,Gaza Strip,2012,SG_GEN_LOCGELS,,
2013,F,Gaza Strip,2013,SG_GEN_LOCGELS,,
2017,F,Gaza Strip,2017,SG_GEN_LOCGELS,,
2018,F,Gaza Strip,2018,SG_GEN_LOCGELS,,
2019,F,Gaza Strip,2019,SG_GEN_LOCGELS,,
2000,F,PS,2000,SG_GEN_LOCGELS,,13.7
2004,F,PS,2004,SG_GEN_LOCGELS,,13.7
2005,F,PS,2005,SG_GEN_LOCGELS,,13.7
2012,F,PS,2012,SG_GEN_LOCGELS,,21.0
2013,F,PS,2013,SG_GEN_LOCGELS,,21.0
2017,F,PS,2017,SG_GEN_LOCGELS,,21.0
2018,F,PS,2018,SG_GEN_LOCGELS,,21.0
2019,F,PS,2019,SG_GEN_LOCGELS,,20.1
2000,_T,West Bank,2000,SG_GEN_LOCGELS,,
2004,_T,West Bank,2004,SG_GEN_LOCGELS,,
2005,_T,West Bank,2005,SG_GEN_LOCGELS,,
2012,_T,West Bank,2012,SG_GEN_LOCGELS,,21.0
2013,_T,West Bank,2013,SG_GEN_LOCGELS,,21.0
2017,_T,West Bank,2017,SG_GEN_LOCGELS,,
2018,_T,West Bank,2018,SG_GEN_LOCGELS,,21.1
2019,_T,West Bank,2019,SG_GEN_LOCGELS,,21.1
2000,_T,Gaza Strip,2000,SG_GEN_LOCGELS,,
2004,_T,Gaza Strip,2004,SG_GEN_LOCGELS,,
2005,_T,Gaza Strip,2005,SG_GEN_LOCGELS,,
2012,_T,Gaza Strip,2012,SG_GEN_LOCGELS,,
2013,_T,Gaza Strip,2013,SG_GEN_LOCGELS,,
2017,_T,Gaza Strip,2017,SG_GEN_LOCGELS,,21.0
2018,_T,Gaza Strip,2018,SG_GEN_LOCGELS,,0.0
2019,_T,Gaza Strip,2019,SG_GEN_LOCGELS,,0.0
2000,_T,PS,2000,SG_GEN_LOCGELS,,1.4
2004,_T,PS,2004,SG_GEN_LOCGELS,,13.7
2005,_T,PS,2005,SG_GEN_LOCGELS,,13.7
2012,_T,PS,2012,SG_GEN_LOCGELS,,21.0
2013,_T,PS,2013,SG_GEN_LOCGELS,,21.0
2017,_T,PS,2017,SG_GEN_LOCGELS,,21.0
2018,_T,PS,2018,SG_GEN_LOCGELS,,21.0
2019,_T,PS,2019,SG_GEN_LOCGELS,,20.1
