Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoP_Cambodia Socio Economic Survey,ប្រចាំឆ្នាំ,ជាតិ,១.២.២ សមាមាត្រ កុមារ ដែលរស់នៅក្នុងភាពក្រីក្រ  គ្រប់សមាសភាព ផ្អែកតាមនិយមន័យរបស់ជាតិ,ប្រទេសកម្ពុជា,អាយុក្រោម ១៨ ឆ្នាំ,ភាគរយ,2020,50.7
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoP_Cambodia Socio Economic Survey,ប្រចាំឆ្នាំ,ជាតិ,១.២.២ សមាមាត្រ កុមារ ដែលរស់នៅក្នុងភាពក្រីក្រ  គ្រប់សមាសភាព ផ្អែកតាមនិយមន័យរបស់ជាតិ,ប្រទេសកម្ពុជា,អាយុក្រោម ១៨ ឆ្នាំ,ភាគរយ,2020,42.3
