Value,Disaggregation combinations using this value,Number of indicators
FAO estimate,1,1
"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",19,3
"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",40,2
Ministry of Agriculture and Forestry ;  http://www.maf.gov.la,5,1
"Ministry of Agriculture and Forestry, http://www.maf.gov.la",6,2
"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",1,1
Ministry of Labor and Social Welfare; http://www.molsw.gov.la,5,1
