Disaggregation,Number of indicators,Number of values
AGE,2,4
FREQ,11,1
INCOME_WEALTH_QUANTILE,2,5
NATURE,11,1
OBS_STATUS,11,1
PRODUCT,1,4
REF_AREA,11,1
REPORTING_TYPE,11,1
SERIES,11,21
SEX,4,2
SOURCE_DETAIL,11,7
UNIT_MEASURE,11,4
UNIT_MULT,11,1
URBANISATION,4,2
