Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MOWA, MOP",ប្រចាំឆ្នាំ,ជាតិ,"៥.៣.១ សមាមាត្ររបស់ស្តី្រអាយុពី២០ដល់២៤ឆ្នាំដែលបានរៀបការឬរស់នៅជាមួយគ្នា
មុនអាយុ១៨ឆ្នាំ",ប្រទេសកម្ពុជា,ស្រី,អាយុពី ២០ ទៅ ២៤ ឆ្នាំ,ភាគរយ,2018,1.9
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MOWA, MOP",ប្រចាំឆ្នាំ,ជាតិ,"៥.៣.១ សមាមាត្ររបស់ស្តី្រអាយុពី២០ដល់២៤ឆ្នាំដែលបានរៀបការឬរស់នៅជាមួយគ្នា
មុនអាយុ១៨ឆ្នាំ",ប្រទេសកម្ពុជា,ស្រី,អាយុពី ២០ ទៅ ២៤ ឆ្នាំ,ភាគរយ,2018,1.8
