Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2014,EG_ELC_ACCS,716,_T,_T,_T,PT,0,2014,60.0
2015,EG_ELC_ACCS,716,_T,_T,_T,PT,0,2015,33.7
2017,EG_ELC_ACCS,716,_T,_T,_T,PT,0,2017,46.3
