Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,DC_TOF_WASHL,BI,_T,_T,_T,_T,million USD,2010,33.6
2011,DC_TOF_WASHL,BI,_T,_T,_T,_T,million USD,2011,42.5
2012,DC_TOF_WASHL,BI,_T,_T,_T,_T,million USD,2012,27.6
2013,DC_TOF_WASHL,BI,_T,_T,_T,_T,million USD,2013,21.9
