Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MAFF,ប្រចាំឆ្នាំ,ជាតិ,២.៤.១ ផលិតភាពដីកសិកម្មដែលបាននិងកំពុងប្រើប្រាស់ធ្វើកសិកម្មប្រកបដោយចីរភាព,ប្រទេសកម្ពុជា,ដុល្លារក្នុងមួយហិកតា,2020,1548
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MAFF,ប្រចាំឆ្នាំ,ជាតិ,២.៤.១ ផលិតភាពដីកសិកម្មដែលបាននិងកំពុងប្រើប្រាស់ធ្វើកសិកម្មប្រកបដោយចីរភាព,ប្រទេសកម្ពុជា,ដុល្លារក្នុងមួយហិកតា,2020,1608
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MAFF,ប្រចាំឆ្នាំ,ជាតិ,២.៤.១ ផលិតភាពដីកសិកម្មដែលបាននិងកំពុងប្រើប្រាស់ធ្វើកសិកម្មប្រកបដោយចីរភាព,ប្រទេសកម្ពុជា,ដុល្លារក្នុងមួយហិកតា,2020,1671
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MAFF,ប្រចាំឆ្នាំ,ជាតិ,២.៤.១ ផលិតភាពដីកសិកម្មដែលបាននិងកំពុងប្រើប្រាស់ធ្វើកសិកម្មប្រកបដោយចីរភាព,ប្រទេសកម្ពុជា,ដុល្លារក្នុងមួយហិកតា,2020,1736
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MAFF,ប្រចាំឆ្នាំ,ជាតិ,២.៤.១ ផលិតភាពដីកសិកម្មដែលបាននិងកំពុងប្រើប្រាស់ធ្វើកសិកម្មប្រកបដោយចីរភាព,ប្រទេសកម្ពុជា,ដុល្លារក្នុងមួយហិកតា,2020,1804
