Year,SEX,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2000,M,West Bank,2000,NUMBER,SL_TLF_MANF,
2001,M,West Bank,2001,NUMBER,SL_TLF_MANF,
2002,M,West Bank,2002,NUMBER,SL_TLF_MANF,
2003,M,West Bank,2003,NUMBER,SL_TLF_MANF,
2004,M,West Bank,2004,NUMBER,SL_TLF_MANF,
2005,M,West Bank,2005,NUMBER,SL_TLF_MANF,
2006,M,West Bank,2006,NUMBER,SL_TLF_MANF,
2007,M,West Bank,2007,NUMBER,SL_TLF_MANF,
2008,M,West Bank,2008,NUMBER,SL_TLF_MANF,
2009,M,West Bank,2009,NUMBER,SL_TLF_MANF,
2010,M,West Bank,2010,NUMBER,SL_TLF_MANF,
2011,M,West Bank,2011,NUMBER,SL_TLF_MANF,
2012,M,West Bank,2012,NUMBER,SL_TLF_MANF,
2013,M,West Bank,2013,NUMBER,SL_TLF_MANF,
2014,M,West Bank,2014,NUMBER,SL_TLF_MANF,
2015,M,West Bank,2015,NUMBER,SL_TLF_MANF,
2016,M,West Bank,2016,NUMBER,SL_TLF_MANF,
2017,M,West Bank,2017,NUMBER,SL_TLF_MANF,
2000,M,Gaza Strip,2000,NUMBER,SL_TLF_MANF,
2001,M,Gaza Strip,2001,NUMBER,SL_TLF_MANF,
2002,M,Gaza Strip,2002,NUMBER,SL_TLF_MANF,
2003,M,Gaza Strip,2003,NUMBER,SL_TLF_MANF,
2004,M,Gaza Strip,2004,NUMBER,SL_TLF_MANF,
2005,M,Gaza Strip,2005,NUMBER,SL_TLF_MANF,
2006,M,Gaza Strip,2006,NUMBER,SL_TLF_MANF,
2007,M,Gaza Strip,2007,NUMBER,SL_TLF_MANF,
2008,M,Gaza Strip,2008,NUMBER,SL_TLF_MANF,
2009,M,Gaza Strip,2009,NUMBER,SL_TLF_MANF,
2010,M,Gaza Strip,2010,NUMBER,SL_TLF_MANF,
2011,M,Gaza Strip,2011,NUMBER,SL_TLF_MANF,
