Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2014,SH_SAN_DEFECT,716,_T,_T,_T,Percent,1,62.0
2015,SH_SAN_DEFECT,716,_T,_T,_T,Percent,1,37.0
