Year,Sex,TIME_DETAIL,Value
2015,Total,2015,6.4
2015,Male,2015,3.4
2015,Female,2015,9.5
2016,Total,2016,6.8
2016,Male,2016,3.5
2016,Female,2016,10.0
2017,Total,2017,5.2
2017,Male,2017,2.9
2017,Female,2017,7.5
2018,Total,2018,5.1
2018,Male,2018,3.1
2018,Female,2018,7.2
