Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2017,SP_DYN_ADKL,BI,F,Y10T14,_T,_T,,1,1.0
2010,SP_DYN_ADKL,BI,F,Y15T19,_T,_T,,1,65.0
