Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2009,2009,NUMBER,GF_XPD_GBPC,97.81
2010,2010,NUMBER,GF_XPD_GBPC,106.34
2013,2013,NUMBER,GF_XPD_GBPC,94.92
2014,2014,NUMBER,GF_XPD_GBPC,96.97
2015,2015,NUMBER,GF_XPD_GBPC,98.04
