Year,seriesdescription,geoarea,sex,age,location,disability,unit,TIME_DETAIL,Value
2016,AG_LND_FRST,UG,_T,_T,_T,_T,%,2016,11.0
2017,AG_LND_FRST,UG,_T,_T,_T,_T,%,2017,9.5
