Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
1992,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CMAA_Cambodia Mine Action Authority/DBU,ប្រចាំឆ្នាំ,ជាតិ,១៨.១.១ ផ្ទៃដីសរុបនៃការបោសសម្អាតមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមប្រចាំឆ្នាំ,ប្រទេសកម្ពុជា,ហិកតា,2020,8488
1999,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CMAA_Cambodia Mine Action Authority/DBU,ប្រចាំឆ្នាំ,ជាតិ,១៨.១.១ ផ្ទៃដីសរុបនៃការបោសសម្អាតមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមប្រចាំឆ្នាំ,ប្រទេសកម្ពុជា,ហិកតា,2020,10050
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CMAA_Cambodia Mine Action Authority/DBU,ប្រចាំឆ្នាំ,ជាតិ,១៨.១.១ ផ្ទៃដីសរុបនៃការបោសសម្អាតមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមប្រចាំឆ្នាំ,ប្រទេសកម្ពុជា,ហិកតា,2020,13258
2001,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CMAA_Cambodia Mine Action Authority/DBU,ប្រចាំឆ្នាំ,ជាតិ,១៨.១.១ ផ្ទៃដីសរុបនៃការបោសសម្អាតមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមប្រចាំឆ្នាំ,ប្រទេសកម្ពុជា,ហិកតា,2020,16726
2002,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CMAA_Cambodia Mine Action Authority/DBU,ប្រចាំឆ្នាំ,ជាតិ,១៨.១.១ ផ្ទៃដីសរុបនៃការបោសសម្អាតមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមប្រចាំឆ្នាំ,ប្រទេសកម្ពុជា,ហិកតា,2020,20935
2003,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CMAA_Cambodia Mine Action Authority/DBU,ប្រចាំឆ្នាំ,ជាតិ,១៨.១.១ ផ្ទៃដីសរុបនៃការបោសសម្អាតមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមប្រចាំឆ្នាំ,ប្រទេសកម្ពុជា,ហិកតា,2020,24136
2004,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CMAA_Cambodia Mine Action Authority/DBU,ប្រចាំឆ្នាំ,ជាតិ,១៨.១.១ ផ្ទៃដីសរុបនៃការបោសសម្អាតមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមប្រចាំឆ្នាំ,ប្រទេសកម្ពុជា,ហិកតា,2020,28201
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CMAA_Cambodia Mine Action Authority/DBU,ប្រចាំឆ្នាំ,ជាតិ,១៨.១.១ ផ្ទៃដីសរុបនៃការបោសសម្អាតមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមប្រចាំឆ្នាំ,ប្រទេសកម្ពុជា,ហិកតា,2020,33390
2006,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CMAA_Cambodia Mine Action Authority/DBU,ប្រចាំឆ្នាំ,ជាតិ,១៨.១.១ ផ្ទៃដីសរុបនៃការបោសសម្អាតមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមប្រចាំឆ្នាំ,ប្រទេសកម្ពុជា,ហិកតា,2020,38926
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CMAA_Cambodia Mine Action Authority/DBU,ប្រចាំឆ្នាំ,ជាតិ,១៨.១.១ ផ្ទៃដីសរុបនៃការបោសសម្អាតមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមប្រចាំឆ្នាំ,ប្រទេសកម្ពុជា,ហិកតា,2020,45463
