Year,SEX,AREA,TIME_DETAIL,Value
2014,Female,West Bank,2014,67.7
2019,Female,West Bank,2019,61.6
2014,Female,Gaza Strip,2014,65.7
2019,Female,Gaza Strip,2019,60.1
2014,Female,Palestine,2014,66.9
2019,Female,Palestine,2019,61.0
2014,Both sexes or no breakdown by sex,West Bank,2014,67.7
2019,Both sexes or no breakdown by sex,West Bank,2019,61.6
2014,Both sexes or no breakdown by sex,Gaza Strip,2014,65.7
2019,Both sexes or no breakdown by sex,Gaza Strip,2019,60.1
2014,Both sexes or no breakdown by sex,Palestine,2014,66.9
2019,Both sexes or no breakdown by sex,Palestine,2019,61.0
