Year,TIME_DETAIL,Value
2000,2000,20.92
2001,2001,10.17
2002,2002,17.92
2003,2003,21.97
2004,2004,45.22
2005,2005,41.82
2006,2006,64.7
2007,2007,57.55
2008,2008,66.94
2009,2009,69.71
2010,2010,71.72
2011,2011,65.4
2012,2012,71.79
2013,2013,57.35
2014,2014,69.59
2015,2015,114.65
2016,2016,87.4
2017,2017,161.58
2018,2018,121.62
