Year,TIME_DETAIL,SERIES,Value
2001,2001,EG_EGY_PRIM,3.35
2002,2002,EG_EGY_PRIM,3.92
2003,2003,EG_EGY_PRIM,3.75
2004,2004,EG_EGY_PRIM,4.76
2005,2005,EG_EGY_PRIM,4.98
2006,2006,EG_EGY_PRIM,4.51
2007,2007,EG_EGY_PRIM,4.41
2008,2008,EG_EGY_PRIM,3.97
2009,2009,EG_EGY_PRIM,3.74
2010,2010,EG_EGY_PRIM,3.67
2011,2011,EG_EGY_PRIM,3.57
2012,2012,EG_EGY_PRIM,3.31
2013,2013,EG_EGY_PRIM,3.4
2014,2014,EG_EGY_PRIM,3.83
2015,2015,EG_EGY_PRIM,3.9
2016,2016,EG_EGY_PRIM,3.96
2017,2017,EG_EGY_PRIM,3.75
2018,2018,EG_EGY_PRIM,3.6
