Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2014,2014,NUMBER,SG_STT_NSDSFDDNR,1
2015,2015,NUMBER,SG_STT_NSDSFDDNR,1
2016,2016,NUMBER,SG_STT_NSDSFDDNR,1
2017,2017,NUMBER,SG_STT_NSDSFDDNR,1
2018,2018,NUMBER,SG_STT_NSDSFDDNR,1
