Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2002,N,2002,SE_PRE_PARTN,NUMBER,160
2006,N,2006,SE_PRE_PARTN,NUMBER,170
2009,N,2009,SE_PRE_PARTN,NUMBER,150
2012,N,2012,SE_PRE_PARTN,NUMBER,120
2015,N,2015,SE_PRE_PARTN,NUMBER,100
