Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,N,2000,IT_USE_II99,NUMBER,
2004,M,West Bank,N,2004,IT_USE_II99,NUMBER,
2006,M,West Bank,N,2006,IT_USE_II99,NUMBER,
2009,M,West Bank,N,2009,IT_USE_II99,NUMBER,
2011,M,West Bank,N,2011,IT_USE_II99,NUMBER,
2014,M,West Bank,N,2014,IT_USE_II99,NUMBER,
2018,M,West Bank,N,2018,IT_USE_II99,NUMBER,
2000,M,Gaza Strip,N,2000,IT_USE_II99,NUMBER,
2004,M,Gaza Strip,N,2004,IT_USE_II99,NUMBER,
2006,M,Gaza Strip,N,2006,IT_USE_II99,NUMBER,
2009,M,Gaza Strip,N,2009,IT_USE_II99,NUMBER,
2011,M,Gaza Strip,N,2011,IT_USE_II99,NUMBER,
2014,M,Gaza Strip,N,2014,IT_USE_II99,NUMBER,
2018,M,Gaza Strip,N,2018,IT_USE_II99,NUMBER,
2000,M,PS,N,2000,IT_USE_II99,NUMBER,7.9
2004,M,PS,N,2004,IT_USE_II99,NUMBER,16.2
2006,M,PS,N,2006,IT_USE_II99,NUMBER,23.6
2009,M,PS,N,2009,IT_USE_II99,NUMBER,38.2
2011,M,PS,N,2011,IT_USE_II99,NUMBER,44.6
2014,M,PS,N,2014,IT_USE_II99,NUMBER,59.6
2018,M,PS,N,2018,IT_USE_II99,NUMBER,68.4
2000,F,West Bank,N,2000,IT_USE_II99,NUMBER,
2004,F,West Bank,N,2004,IT_USE_II99,NUMBER,
2006,F,West Bank,N,2006,IT_USE_II99,NUMBER,
2009,F,West Bank,N,2009,IT_USE_II99,NUMBER,
2011,F,West Bank,N,2011,IT_USE_II99,NUMBER,
2014,F,West Bank,N,2014,IT_USE_II99,NUMBER,
2018,F,West Bank,N,2018,IT_USE_II99,NUMBER,
2000,F,Gaza Strip,N,2000,IT_USE_II99,NUMBER,
2004,F,Gaza Strip,N,2004,IT_USE_II99,NUMBER,
2006,F,Gaza Strip,N,2006,IT_USE_II99,NUMBER,
2009,F,Gaza Strip,N,2009,IT_USE_II99,NUMBER,
2011,F,Gaza Strip,N,2011,IT_USE_II99,NUMBER,
2014,F,Gaza Strip,N,2014,IT_USE_II99,NUMBER,
2018,F,Gaza Strip,N,2018,IT_USE_II99,NUMBER,
2000,F,PS,N,2000,IT_USE_II99,NUMBER,2.8
2004,F,PS,N,2004,IT_USE_II99,NUMBER,7.5
2006,F,PS,N,2006,IT_USE_II99,NUMBER,13.1
2009,F,PS,N,2009,IT_USE_II99,NUMBER,26.2
2011,F,PS,N,2011,IT_USE_II99,NUMBER,34.4
2014,F,PS,N,2014,IT_USE_II99,NUMBER,47.5
2018,F,PS,N,2018,IT_USE_II99,NUMBER,60.3
2000,_T,West Bank,N,2000,IT_USE_II99,NUMBER,5.7
2004,_T,West Bank,N,2004,IT_USE_II99,NUMBER,12.3
2006,_T,West Bank,N,2006,IT_USE_II99,NUMBER,18.9
2009,_T,West Bank,N,2009,IT_USE_II99,NUMBER,32.7
2011,_T,West Bank,N,2011,IT_USE_II99,NUMBER,40.0
2014,_T,West Bank,N,2014,IT_USE_II99,NUMBER,54.5
2018,_T,West Bank,N,2018,IT_USE_II99,NUMBER,69.1
2000,_T,Gaza Strip,N,2000,IT_USE_II99,NUMBER,4.7
2004,_T,Gaza Strip,N,2004,IT_USE_II99,NUMBER,11.1
2006,_T,Gaza Strip,N,2006,IT_USE_II99,NUMBER,17.6
2009,_T,Gaza Strip,N,2009,IT_USE_II99,NUMBER,31.5
2011,_T,Gaza Strip,N,2011,IT_USE_II99,NUMBER,38.8
2014,_T,Gaza Strip,N,2014,IT_USE_II99,NUMBER,52.2
2018,_T,Gaza Strip,N,2018,IT_USE_II99,NUMBER,56.6
2000,_T,PS,N,2000,IT_USE_II99,NUMBER,5.4
2004,_T,PS,N,2004,IT_USE_II99,NUMBER,11.9
2006,_T,PS,N,2006,IT_USE_II99,NUMBER,18.4
2009,_T,PS,N,2009,IT_USE_II99,NUMBER,32.3
2011,_T,PS,N,2011,IT_USE_II99,NUMBER,39.6
2014,_T,PS,N,2014,IT_USE_II99,NUMBER,53.7
2018,_T,PS,N,2018,IT_USE_II99,NUMBER,64.5
