Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2019,_T,Tulkarm,2019,SP_DYN_MRBF15,,
2007,_T,Nablus,2007,SP_DYN_MRBF15,,
2014,_T,Nablus,2014,SP_DYN_MRBF15,,
2017,_T,Nablus,2017,SP_DYN_MRBF15,,
2019,_T,Nablus,2019,SP_DYN_MRBF15,,
2007,_T,Qalqiliya,2007,SP_DYN_MRBF15,,
2014,_T,Qalqiliya,2014,SP_DYN_MRBF15,,
2017,_T,Qalqiliya,2017,SP_DYN_MRBF15,,
2019,_T,Qalqiliya,2019,SP_DYN_MRBF15,,
2007,_T,Salfit,2007,SP_DYN_MRBF15,,
2014,_T,Salfit,2014,SP_DYN_MRBF15,,
2017,_T,Salfit,2017,SP_DYN_MRBF15,,
2019,_T,Salfit,2019,SP_DYN_MRBF15,,
2007,_T,Ramallah & Al-Bireh,2007,SP_DYN_MRBF15,,
2014,_T,Ramallah & Al-Bireh,2014,SP_DYN_MRBF15,,
2017,_T,Ramallah & Al-Bireh,2017,SP_DYN_MRBF15,,
2019,_T,Ramallah & Al-Bireh,2019,SP_DYN_MRBF15,,
2007,_T,Jericho & AL Aghwar,2007,SP_DYN_MRBF15,,
2014,_T,Jericho & AL Aghwar,2014,SP_DYN_MRBF15,,
2017,_T,Jericho & AL Aghwar,2017,SP_DYN_MRBF15,,
2019,_T,Jericho & AL Aghwar,2019,SP_DYN_MRBF15,,
2007,_T,Jerusalem,2007,SP_DYN_MRBF15,,
2014,_T,Jerusalem,2014,SP_DYN_MRBF15,,
2017,_T,Jerusalem,2017,SP_DYN_MRBF15,,
2019,_T,Jerusalem,2019,SP_DYN_MRBF15,,
2007,_T,Bethlehem,2007,SP_DYN_MRBF15,,
2014,_T,Bethlehem,2014,SP_DYN_MRBF15,,
2017,_T,Bethlehem,2017,SP_DYN_MRBF15,,
2019,_T,Bethlehem,2019,SP_DYN_MRBF15,,
2007,_T,Hebron,2007,SP_DYN_MRBF15,,
2014,_T,Hebron,2014,SP_DYN_MRBF15,,
2017,_T,Hebron,2017,SP_DYN_MRBF15,,
2019,_T,Hebron,2019,SP_DYN_MRBF15,,
2007,_T,North Gaza,2007,SP_DYN_MRBF15,,
2014,_T,North Gaza,2014,SP_DYN_MRBF15,,
2017,_T,North Gaza,2017,SP_DYN_MRBF15,,
2019,_T,North Gaza,2019,SP_DYN_MRBF15,,
2007,_T,Gaza,2007,SP_DYN_MRBF15,,
2014,_T,Gaza,2014,SP_DYN_MRBF15,,
2017,_T,Gaza,2017,SP_DYN_MRBF15,,
2019,_T,Gaza,2019,SP_DYN_MRBF15,,
2007,_T,Dier Al-Balah,2007,SP_DYN_MRBF15,,
2014,_T,Dier Al-Balah,2014,SP_DYN_MRBF15,,
2017,_T,Dier Al-Balah,2017,SP_DYN_MRBF15,,
2019,_T,Dier Al-Balah,2019,SP_DYN_MRBF15,,
2007,_T,Khan Yunis,2007,SP_DYN_MRBF15,,
2014,_T,Khan Yunis,2014,SP_DYN_MRBF15,,
2017,_T,Khan Yunis,2017,SP_DYN_MRBF15,,
2019,_T,Khan Yunis,2019,SP_DYN_MRBF15,,
2007,_T,Rafah,2007,SP_DYN_MRBF15,,
2014,_T,Rafah,2014,SP_DYN_MRBF15,,
2017,_T,Rafah,2017,SP_DYN_MRBF15,,
2019,_T,Rafah,2019,SP_DYN_MRBF15,,
