Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2009,2009,NUMBER,SI_HEI_TOTL,25.6
2010,2010,NUMBER,SI_HEI_TOTL,-4.7
2011,2011,NUMBER,SI_HEI_TOTL,-4.7
2017,2017,NUMBER,SI_HEI_TOTL,-8.59
