Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,PS,2000,GF_FRN_FDI,NUMBER,290.5
2001,M,PS,2001,GF_FRN_FDI,NUMBER,
2002,M,PS,2002,GF_FRN_FDI,NUMBER,
2003,M,PS,2003,GF_FRN_FDI,NUMBER,
2004,M,PS,2004,GF_FRN_FDI,NUMBER,
2005,M,PS,2005,GF_FRN_FDI,NUMBER,
2006,M,PS,2006,GF_FRN_FDI,NUMBER,
2007,M,PS,2007,GF_FRN_FDI,NUMBER,
2008,M,PS,2008,GF_FRN_FDI,NUMBER,
2009,M,PS,2009,GF_FRN_FDI,NUMBER,
2010,M,PS,2010,GF_FRN_FDI,NUMBER,
2011,M,PS,2011,GF_FRN_FDI,NUMBER,
2012,M,PS,2012,GF_FRN_FDI,NUMBER,
2013,M,PS,2013,GF_FRN_FDI,NUMBER,
2014,M,PS,2014,GF_FRN_FDI,NUMBER,
2015,M,PS,2015,GF_FRN_FDI,NUMBER,
2016,M,PS,2016,GF_FRN_FDI,NUMBER,
2017,M,PS,2017,GF_FRN_FDI,NUMBER,
2018,M,PS,2018,GF_FRN_FDI,NUMBER,
2000,M,Jenin,2000,GF_FRN_FDI,NUMBER,385.7
2001,M,Jenin,2001,GF_FRN_FDI,NUMBER,
2002,M,Jenin,2002,GF_FRN_FDI,NUMBER,
2003,M,Jenin,2003,GF_FRN_FDI,NUMBER,
2004,M,Jenin,2004,GF_FRN_FDI,NUMBER,
2005,M,Jenin,2005,GF_FRN_FDI,NUMBER,
2006,M,Jenin,2006,GF_FRN_FDI,NUMBER,
2007,M,Jenin,2007,GF_FRN_FDI,NUMBER,
2008,M,Jenin,2008,GF_FRN_FDI,NUMBER,
2009,M,Jenin,2009,GF_FRN_FDI,NUMBER,
2010,M,Jenin,2010,GF_FRN_FDI,NUMBER,
2011,M,Jenin,2011,GF_FRN_FDI,NUMBER,
2012,M,Jenin,2012,GF_FRN_FDI,NUMBER,
2013,M,Jenin,2013,GF_FRN_FDI,NUMBER,
2014,M,Jenin,2014,GF_FRN_FDI,NUMBER,
2015,M,Jenin,2015,GF_FRN_FDI,NUMBER,
2016,M,Jenin,2016,GF_FRN_FDI,NUMBER,
2017,M,Jenin,2017,GF_FRN_FDI,NUMBER,
2018,M,Jenin,2018,GF_FRN_FDI,NUMBER,
2000,M,Tubas & Northern Valleys,2000,GF_FRN_FDI,NUMBER,390.4
2001,M,Tubas & Northern Valleys,2001,GF_FRN_FDI,NUMBER,
2002,M,Tubas & Northern Valleys,2002,GF_FRN_FDI,NUMBER,
2003,M,Tubas & Northern Valleys,2003,GF_FRN_FDI,NUMBER,
2004,M,Tubas & Northern Valleys,2004,GF_FRN_FDI,NUMBER,
2005,M,Tubas & Northern Valleys,2005,GF_FRN_FDI,NUMBER,
2006,M,Tubas & Northern Valleys,2006,GF_FRN_FDI,NUMBER,
2007,M,Tubas & Northern Valleys,2007,GF_FRN_FDI,NUMBER,
2008,M,Tubas & Northern Valleys,2008,GF_FRN_FDI,NUMBER,
