Year,SEX,AREA,TIME_DETAIL,Value
2018,Male,West Bank,2018,
2018,Male,Gaza Strip,2018,
2018,Male,Palestine,2018,82.7
2018,Female,West Bank,2018,
2018,Female,Gaza Strip,2018,
2018,Female,Palestine,2018,86.1
2018,Both sexes or no breakdown by sex,West Bank,2018,87.3
2018,Both sexes or no breakdown by sex,Gaza Strip,2018,80.3
2018,Both sexes or no breakdown by sex,Palestine,2018,84.4
