Year,TIME_DETAIL,Value
2006,2006,8.0
2007,2007,10.5
2008,2008,11.8
2009,2009,14.5
2010,2010,15.3
2011,2011,16.6
2012,2012,18.4
2013,2013,19.8
2014,2014,21.5
2015,2015,22.4
2018,2018,24.79
2019,2019,25.0
