Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,West Bank,N,2015,SH_DTH_NCD,NUMBER,21.0
2016,West Bank,N,2016,SH_DTH_NCD,NUMBER,20.6
2017,West Bank,N,2017,SH_DTH_NCD,NUMBER,17.9
2018,West Bank,N,2018,SH_DTH_NCD,NUMBER,18.7
2015,Gaza Strip,N,2015,SH_DTH_NCD,NUMBER,19.1
2016,Gaza Strip,N,2016,SH_DTH_NCD,NUMBER,22.7
2017,Gaza Strip,N,2017,SH_DTH_NCD,NUMBER,20.9
2018,Gaza Strip,N,2018,SH_DTH_NCD,NUMBER,23.7
2015,PS,N,2015,SH_DTH_NCD,NUMBER,20.6
2016,PS,N,2016,SH_DTH_NCD,NUMBER,21.5
2017,PS,N,2017,SH_DTH_NCD,NUMBER,19.2
2018,PS,N,2018,SH_DTH_NCD,NUMBER,20.3
