Year,SEX,AREA,AGE,TIME_DETAIL,Value
2002,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2002,1.6
2003,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2003,2.7
2004,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2004,2.3
2005,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2005,2.9
2006,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2006,4.4
2007,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2007,4.6
2008,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2008,3.7
2009,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2009,3.6
2010,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2010,3.6
2011,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2011,4.1
2012,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2012,4.0
2013,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2013,3.4
2014,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2014,3.6
2015,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2015,4.5
2016,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2016,3.9
2017,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2017,3.4
2018,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2018,
2000,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2000,1.7
2001,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2001,0.5
2002,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2002,0.5
2003,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2003,1.2
2004,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2004,1.0
2005,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2005,1.3
2006,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2006,2.9
2007,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2007,3.1
2008,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2008,2.3
2009,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2009,2.1
2010,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2010,2.3
2011,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2011,2.2
2012,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2012,2.1
2013,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2013,1.5
2014,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2014,1.6
2015,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2015,2.0
2016,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2016,1.7
2017,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2017,1.2
2018,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2018,0.9
2000,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2000,4.3
2001,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2001,2.2
2002,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2002,1.6
2003,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2003,2.7
2004,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2004,2.3
2005,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2005,2.9
2006,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2006,4.4
2007,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2007,4.6
2008,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2008,3.7
2009,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2009,3.6
2010,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2010,3.6
2011,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2011,4.1
2012,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2012,4.0
2013,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2013,3.4
2014,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2014,3.6
2015,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2015,4.5
2016,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2016,3.9
2017,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2017,3.4
2018,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2018,2.9
2000,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2000,9.9
2001,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2001,5.7
2002,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2002,3.9
2003,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2003,5.6
2004,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2004,4.7
2005,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2005,5.7
2006,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2006,7.3
2007,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2007,7.2
2008,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2008,6.1
2009,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2009,6.4
2010,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2010,6.1
2011,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2011,7.5
2012,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2012,7.7
2013,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2013,7.0
2014,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2014,7.5
2015,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2015,9.0
2016,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2016,7.8
2017,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2017,7.2
2018,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,2018,6.6
