Year,TIME_DETAIL,SERIES,Value
2001,2001,DC_ODA_BDVDL,2.37
2002,2002,DC_ODA_BDVDL,1.39
2003,2003,DC_ODA_BDVDL,0.43
2004,2004,DC_ODA_BDVDL,0.6
2005,2005,DC_ODA_BDVDL,10.78
2006,2006,DC_ODA_BDVDL,1.25
2007,2007,DC_ODA_BDVDL,4.16
2008,2008,DC_ODA_BDVDL,7.01
2009,2009,DC_ODA_BDVDL,7.71
2010,2010,DC_ODA_BDVDL,2.9
2011,2011,DC_ODA_BDVDL,14.85
2012,2012,DC_ODA_BDVDL,20.29
2013,2013,DC_ODA_BDVDL,10.35
2014,2014,DC_ODA_BDVDL,21.04
2015,2015,DC_ODA_BDVDL,15.87
2016,2016,DC_ODA_BDVDL,15.87
2017,2017,DC_ODA_BDVDL,16.9
