Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,2000,VC_DSR_GDPLS,,132365.95
2001,2001,VC_DSR_GDPLS,,20033.77
2003,2003,VC_DSR_GDPLS,,10732.37
2005,2005,VC_DSR_GDPLS,,5775.0
2006,2006,VC_DSR_GDPLS,,5775.0
2009,2009,VC_DSR_GDPLS,,1042087.0
2010,2010,VC_DSR_GDPLS,,435262.0
2012,2012,VC_DSR_GDPLS,,230850.0
2013,2013,VC_DSR_GDPLS,,3312975.0
2015,2015,VC_DSR_GDPLS,,5488201.0
2016,2016,VC_DSR_GDPLS,,5351218.0
2017,2017,VC_DSR_GDPLS,,563823.0
