Year,URBANISATION,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
0,_T,West Bank,0,NUMBER,SH_SAN_DEFECT,99.4
2000,_T,West Bank,2000,NUMBER,SH_SAN_DEFECT,99.4
2002,_T,West Bank,2002,NUMBER,SH_SAN_DEFECT,98.8
2003,_T,West Bank,2003,NUMBER,SH_SAN_DEFECT,98.4
2004,_T,West Bank,2004,NUMBER,SH_SAN_DEFECT,98.6
2005,_T,West Bank,2005,NUMBER,SH_SAN_DEFECT,99.2
2006,_T,West Bank,2006,NUMBER,SH_SAN_DEFECT,99.2
2007,_T,West Bank,2007,NUMBER,SH_SAN_DEFECT,98.8
2008,_T,West Bank,2008,NUMBER,SH_SAN_DEFECT,98.8
2009,_T,West Bank,2009,NUMBER,SH_SAN_DEFECT,99.0
2010,_T,West Bank,2010,NUMBER,SH_SAN_DEFECT,88.0
2011,_T,West Bank,2011,NUMBER,SH_SAN_DEFECT,98.8
2012,_T,West Bank,2012,NUMBER,SH_SAN_DEFECT,99.4
2013,_T,West Bank,2013,NUMBER,SH_SAN_DEFECT,99.3
2014,_T,West Bank,2014,NUMBER,SH_SAN_DEFECT,98.8
2015,_T,West Bank,2015,NUMBER,SH_SAN_DEFECT,98.8
2017,_T,West Bank,2017,NUMBER,SH_SAN_DEFECT,99.6
0,_T,Gaza Strip,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Gaza Strip,2000,NUMBER,SH_SAN_DEFECT,100.0
2002,_T,Gaza Strip,2002,NUMBER,SH_SAN_DEFECT,99.3
2003,_T,Gaza Strip,2003,NUMBER,SH_SAN_DEFECT,99.5
2004,_T,Gaza Strip,2004,NUMBER,SH_SAN_DEFECT,100.0
2005,_T,Gaza Strip,2005,NUMBER,SH_SAN_DEFECT,99.6
2006,_T,Gaza Strip,2006,NUMBER,SH_SAN_DEFECT,99.7
2007,_T,Gaza Strip,2007,NUMBER,SH_SAN_DEFECT,99.9
2008,_T,Gaza Strip,2008,NUMBER,SH_SAN_DEFECT,99.8
2009,_T,Gaza Strip,2009,NUMBER,SH_SAN_DEFECT,99.8
2010,_T,Gaza Strip,2010,NUMBER,SH_SAN_DEFECT,95.5
2011,_T,Gaza Strip,2011,NUMBER,SH_SAN_DEFECT,100.0
2012,_T,Gaza Strip,2012,NUMBER,SH_SAN_DEFECT,100.0
2013,_T,Gaza Strip,2013,NUMBER,SH_SAN_DEFECT,100.0
2014,_T,Gaza Strip,2014,NUMBER,SH_SAN_DEFECT,98.4
2015,_T,Gaza Strip,2015,NUMBER,SH_SAN_DEFECT,100.0
2017,_T,Gaza Strip,2017,NUMBER,SH_SAN_DEFECT,99.9
0,_T,PS,0,NUMBER,SH_SAN_DEFECT,
2000,_T,PS,2000,NUMBER,SH_SAN_DEFECT,99.6
2002,_T,PS,2002,NUMBER,SH_SAN_DEFECT,99.0
2003,_T,PS,2003,NUMBER,SH_SAN_DEFECT,99.8
2004,_T,PS,2004,NUMBER,SH_SAN_DEFECT,99.0
2005,_T,PS,2005,NUMBER,SH_SAN_DEFECT,99.4
2006,_T,PS,2006,NUMBER,SH_SAN_DEFECT,99.3
2007,_T,PS,2007,NUMBER,SH_SAN_DEFECT,99.2
2008,_T,PS,2008,NUMBER,SH_SAN_DEFECT,99.2
2009,_T,PS,2009,NUMBER,SH_SAN_DEFECT,99.3
2010,_T,PS,2010,NUMBER,SH_SAN_DEFECT,90.8
2011,_T,PS,2011,NUMBER,SH_SAN_DEFECT,99.3
2012,_T,PS,2012,NUMBER,SH_SAN_DEFECT,99.6
2013,_T,PS,2013,NUMBER,SH_SAN_DEFECT,99.5
2014,_T,PS,2014,NUMBER,SH_SAN_DEFECT,98.6
