Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2011,M,West Bank,2011,FB_BNK_ACCSS,,
2014,M,West Bank,2014,FB_BNK_ACCSS,,
2017,M,West Bank,2017,FB_BNK_ACCSS,,
2018,M,West Bank,2018,FB_BNK_ACCSS,,
2019,M,West Bank,2019,FB_BNK_ACCSS,,
2011,M,Gaza Strip,2011,FB_BNK_ACCSS,,
2014,M,Gaza Strip,2014,FB_BNK_ACCSS,,
2017,M,Gaza Strip,2017,FB_BNK_ACCSS,,
2018,M,Gaza Strip,2018,FB_BNK_ACCSS,,
2019,M,Gaza Strip,2019,FB_BNK_ACCSS,,
2011,M,PS,2011,FB_BNK_ACCSS,,28.67
2014,M,PS,2014,FB_BNK_ACCSS,,27.34
2017,M,PS,2017,FB_BNK_ACCSS,,34.44
2018,M,PS,2018,FB_BNK_ACCSS,,
2019,M,PS,2019,FB_BNK_ACCSS,,44.2
2011,F,West Bank,2011,FB_BNK_ACCSS,,
2014,F,West Bank,2014,FB_BNK_ACCSS,,
2017,F,West Bank,2017,FB_BNK_ACCSS,,
2018,F,West Bank,2018,FB_BNK_ACCSS,,
2019,F,West Bank,2019,FB_BNK_ACCSS,,
2011,F,Gaza Strip,2011,FB_BNK_ACCSS,,
2014,F,Gaza Strip,2014,FB_BNK_ACCSS,,
2017,F,Gaza Strip,2017,FB_BNK_ACCSS,,
2018,F,Gaza Strip,2018,FB_BNK_ACCSS,,
2019,F,Gaza Strip,2019,FB_BNK_ACCSS,,
2011,F,PS,2011,FB_BNK_ACCSS,,10.19
2014,F,PS,2014,FB_BNK_ACCSS,,21.21
2017,F,PS,2017,FB_BNK_ACCSS,,15.91
2018,F,PS,2018,FB_BNK_ACCSS,,
2019,F,PS,2019,FB_BNK_ACCSS,,19.8
2011,_T,West Bank,2011,FB_BNK_ACCSS,,
2014,_T,West Bank,2014,FB_BNK_ACCSS,,
2017,_T,West Bank,2017,FB_BNK_ACCSS,,
2018,_T,West Bank,2018,FB_BNK_ACCSS,,
2019,_T,West Bank,2019,FB_BNK_ACCSS,,39.2
2011,_T,Gaza Strip,2011,FB_BNK_ACCSS,,
2014,_T,Gaza Strip,2014,FB_BNK_ACCSS,,
2017,_T,Gaza Strip,2017,FB_BNK_ACCSS,,
2018,_T,Gaza Strip,2018,FB_BNK_ACCSS,,
2019,_T,Gaza Strip,2019,FB_BNK_ACCSS,,20.8
2011,_T,PS,2011,FB_BNK_ACCSS,,19.43
2014,_T,PS,2014,FB_BNK_ACCSS,,24.24
2017,_T,PS,2017,FB_BNK_ACCSS,,25.02
2018,_T,PS,2018,FB_BNK_ACCSS,,55.0
2019,_T,PS,2019,FB_BNK_ACCSS,,32.8
