Year,REF_AREA,TIME_DETAIL,SERIES,Value
2015,West Bank,2015,SH_HAP_HBSAG,0.58
2016,West Bank,2016,SH_HAP_HBSAG,0.79
2017,West Bank,2017,SH_HAP_HBSAG,0.5
2018,West Bank,2018,SH_HAP_HBSAG,
2019,West Bank,2019,SH_HAP_HBSAG,0.59
2015,Gaza Strip,2015,SH_HAP_HBSAG,0.39
2016,Gaza Strip,2016,SH_HAP_HBSAG,0.05
2017,Gaza Strip,2017,SH_HAP_HBSAG,0.3
2018,Gaza Strip,2018,SH_HAP_HBSAG,0.02
2019,Gaza Strip,2019,SH_HAP_HBSAG,0.0
2015,PS,2015,SH_HAP_HBSAG,0.51
2016,PS,2016,SH_HAP_HBSAG,0.5
2017,PS,2017,SH_HAP_HBSAG,0.45
2018,PS,2018,SH_HAP_HBSAG,0.68
2019,PS,2019,SH_HAP_HBSAG,0.34
