Year,Area,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2016,URBAN,2016,NUMBER,EN_ATM_PM25,31.7
2016,ALLAREA,2016,NUMBER,EN_ATM_PM25,32.1
