Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2014,2014,NUMBER,DT_TDS_DECT,7.01
2015,2015,NUMBER,DT_TDS_DECT,12.78
2016,2016,NUMBER,DT_TDS_DECT,15.1
2017,2017,NUMBER,DT_TDS_DECT,9.8
