Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.២ ភាគរយនៃការកាត់បន្ថយការប្រើប្រាស់ថង់ប្លាស្ទិច,ប្រទេសកម្ពុជា,ភាគរយ,2020,10
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.២ ភាគរយនៃការកាត់បន្ថយការប្រើប្រាស់ថង់ប្លាស្ទិច,ប្រទេសកម្ពុជា,ភាគរយ,2020,10
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.២ ភាគរយនៃការកាត់បន្ថយការប្រើប្រាស់ថង់ប្លាស្ទិច,ប្រទេសកម្ពុជា,ភាគរយ,2020,10
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.២ ភាគរយនៃការកាត់បន្ថយការប្រើប្រាស់ថង់ប្លាស្ទិច,ប្រទេសកម្ពុជា,ភាគរយ,2020,10
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.២ ភាគរយនៃការកាត់បន្ថយការប្រើប្រាស់ថង់ប្លាស្ទិច,ប្រទេសកម្ពុជា,ភាគរយ,2020,20
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.២ ភាគរយនៃការកាត់បន្ថយការប្រើប្រាស់ថង់ប្លាស្ទិច,ប្រទេសកម្ពុជា,ភាគរយ,2020,20
