Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoH,ប្រចាំឆ្នាំ,ជាតិ,៣.៨.២ ភាគរយនៃស្ត្រីវ័យ ជំទង់អាយុ១៥-១៩ឆ្នាំ ដែលមានគភ៌,ប្រទេសកម្ពុជា,ស្រី,អាយុពី ១៥ ទៅ ១៩ ឆ្នាំ,ភាគរយ,2020,11.5
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoH,ប្រចាំឆ្នាំ,ជាតិ,៣.៨.២ ភាគរយនៃស្ត្រីវ័យ ជំទង់អាយុ១៥-១៩ឆ្នាំ ដែលមានគភ៌,ប្រទេសកម្ពុជា,ស្រី,អាយុពី ១៥ ទៅ ១៩ ឆ្នាំ,ភាគរយ,2020,8.0
