Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS,ប្រចាំឆ្នាំ,ជាតិ,៤.គ.៥ ភាគរយគូ្របង្រៀនដែលបានទទួលការបណ្តុះបណ្តាលវិកឹ្រតការ,ប្រទេសកម្ពុជា,ភាគរយ,2020,2.0
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS,ប្រចាំឆ្នាំ,ជាតិ,៤.គ.៥ ភាគរយគូ្របង្រៀនដែលបានទទួលការបណ្តុះបណ្តាលវិកឹ្រតការ,ប្រទេសកម្ពុជា,ភាគរយ,2020,3.9
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS,ប្រចាំឆ្នាំ,ជាតិ,៤.គ.៥ ភាគរយគូ្របង្រៀនដែលបានទទួលការបណ្តុះបណ្តាលវិកឹ្រតការ,ប្រទេសកម្ពុជា,ភាគរយ,2020,5.9
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS,ប្រចាំឆ្នាំ,ជាតិ,៤.គ.៥ ភាគរយគូ្របង្រៀនដែលបានទទួលការបណ្តុះបណ្តាលវិកឹ្រតការ,ប្រទេសកម្ពុជា,ភាគរយ,2020,9.5
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS,ប្រចាំឆ្នាំ,ជាតិ,៤.គ.៥ ភាគរយគូ្របង្រៀនដែលបានទទួលការបណ្តុះបណ្តាលវិកឹ្រតការ,ប្រទេសកម្ពុជា,ភាគរយ,2020,11.2
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS,ប្រចាំឆ្នាំ,ជាតិ,៤.គ.៥ ភាគរយគូ្របង្រៀនដែលបានទទួលការបណ្តុះបណ្តាលវិកឹ្រតការ,ប្រទេសកម្ពុជា,ភាគរយ,2020,12.9
