Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,3482
2001,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,5096
2002,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,6564
2003,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,7152
2004,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,7671
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,8632
2006,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,9049
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,11779
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,20108
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,291589
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,193858
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,1689389
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,2706922
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,3861979
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,5025945
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,6443976
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,8099132
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,10841728
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MPTC,ប្រចាំឆ្នាំ,ជាតិ,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,ប្រទេសកម្ពុជា,ចំនួន,2018,13611398
