Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoC,ប្រចាំឆ្នាំ,ជាតិ,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,ប្រទេសកម្ពុជា,ចំនួន,2020,6
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoC,ប្រចាំឆ្នាំ,ជាតិ,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,ប្រទេសកម្ពុជា,ចំនួន,2020,6
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoC,ប្រចាំឆ្នាំ,ជាតិ,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,ប្រទេសកម្ពុជា,ចំនួន,2020,7
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoC,ប្រចាំឆ្នាំ,ជាតិ,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,ប្រទេសកម្ពុជា,ចំនួន,2020,7
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoC,ប្រចាំឆ្នាំ,ជាតិ,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,ប្រទេសកម្ពុជា,ចំនួន,2020,7
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoC,ប្រចាំឆ្នាំ,ជាតិ,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,ប្រទេសកម្ពុជា,ចំនួន,2020,10
