Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CRDB/CDC,ប្រចាំឆ្នាំ,ជាតិ,៨.ក.១ ការប្តេជ្ញា និងផ្តល់ហិរញ្ញប្បទានសហ្របតិបត្តិការសម្រាប់វិស័យពាណិជ្ជកម្ម,ប្រទេសកម្ពុជា,ភាគរយ,2020,0.018
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CRDB/CDC,ប្រចាំឆ្នាំ,ជាតិ,៨.ក.១ ការប្តេជ្ញា និងផ្តល់ហិរញ្ញប្បទានសហ្របតិបត្តិការសម្រាប់វិស័យពាណិជ្ជកម្ម,ប្រទេសកម្ពុជា,ភាគរយ,2020,0.017
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CRDB/CDC,ប្រចាំឆ្នាំ,ជាតិ,៨.ក.១ ការប្តេជ្ញា និងផ្តល់ហិរញ្ញប្បទានសហ្របតិបត្តិការសម្រាប់វិស័យពាណិជ្ជកម្ម,ប្រទេសកម្ពុជា,ភាគរយ,2020,0.016
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CRDB/CDC,ប្រចាំឆ្នាំ,ជាតិ,៨.ក.១ ការប្តេជ្ញា និងផ្តល់ហិរញ្ញប្បទានសហ្របតិបត្តិការសម្រាប់វិស័យពាណិជ្ជកម្ម,ប្រទេសកម្ពុជា,ភាគរយ,2020,0.015
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,CRDB/CDC,ប្រចាំឆ្នាំ,ជាតិ,៨.ក.១ ការប្តេជ្ញា និងផ្តល់ហិរញ្ញប្បទានសហ្របតិបត្តិការសម្រាប់វិស័យពាណិជ្ជកម្ម,ប្រទេសកម្ពុជា,ភាគរយ,2020,0.014
